Num: b0=0 b1=0 b2=1 b3=43 size=4
  IZDM  [sp5a]  (bytes 04 90)
  IZDm  [ui16]  0 (bytes 20 00)
  IZHD  [sp2d]  (bytes 01 9f)
  IZHd  [ui16]  64 (bytes 04 40)
  Ic0R  [sp4b]  (bytes 0d 97)
  Ic0r  [ui16]  0 (bytes 29 00)
  KWS4  [ui8 ]  0 (bytes 00)
  LAcN  [ui8 ]  0 (bytes 00)
  LAtN  [ui16]  0 (bytes 00 00)
  LC2D  [ui16]  71 (bytes 67 47)
  LC2E  [ui16]  71 (bytes 67 47)
  LCCN  [ui8 ]  161 (bytes a1)
  LCCQ  [ui8 ]  160 (bytes a0)
  LCKA  [ui8 ]  149 (bytes 95)
  LCSA  [ui8 ]  200 (bytes c8)
  LCTN  [ui8 ]  166 (bytes a6)
  LCTQ  [ui8 ]  180 (bytes b4)
  LDEN  [ui16]  0 (bytes 00 00)
  LDI2  [ui8 ]  1 (bytes 01)
  LDS4  [ui8 ]  1 (bytes 01)
  LDSP  [flag]  (bytes 00)
  LEDC  [ui8 ]  0 (bytes 00)
  LEDT  [ui16]  0 (bytes 81 00)
  LEIC  [ui8 ]  0 (bytes 00)
  LEID  [ui16]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  LET0  [ui32]  0 (bytes 00 00 00 00)
  LET1  [ui32]  0 (bytes 00 00 00 00)
  LET2  [ui32]  0 (bytes 00 00 00 00)
  MACA  [ui32]  0 (bytes 00 00 00 00)
  MACM  [flag]  (bytes 01)
  MACR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSAL  [ui8 ]  75 (bytes 4b)
  MSAc  [fp88]  (bytes 00 00)
  MSAf  [fp6a]  (bytes 00 00)
  MSAg  [fp88]  (bytes 00 00)
  MSAm  [fp88]  (bytes 00 00)
  MSBC  [ui16]  168 (bytes 00 a8)
  MSBP  [ui16]  47 (bytes 0a 2f)
  MSBc  [ui16]  34 (bytes 05 22)
  MSBp  [ui16]  67 (bytes 00 43)
  MSDW  [flag]  (bytes 00)
  MSG3  [flag]  (bytes 00)
  MSGA  [fp6a]  (bytes 00 00)
  MSHT  [ui8 ]  0 (bytes 00)
  MSLD  [ui8 ]  0 (bytes 00)
  MSPA  [fp6a]  (bytes 00 00)
  MSPC  [ui8 ]  3 (bytes 03)
  MSPS  [ui16]  3 (bytes 00 03)
