Num: b0=0 b1=0 b2=3 b3=5a size=4
  CHGC  [ui16]  2 (bytes 1c 02)
  CHGD  [flag]  (bytes 00)
  CHGI  [ui16]  224 (bytes 01 e0)
  CHGV  [ui16]  248 (bytes 32 f8)
  CHII  [ui16]  0 (bytes 00 00)
  CHIM  [flag]  (bytes 01)
  CHIT  [ui16]  0 (bytes 00 00)
  CLKT  [ui32]  88 (bytes 00 00 ea 58)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  120 (bytes 56 78)
  CPL1  [sp87]  (bytes 00 00)
  CPL2  [sp87]  (bytes 00 00)
  CPL3  [ui32]  0 (bytes 00 00 00 00)
  CPL4  [sp87]  (bytes 00 00)
  CPPL  [sp87]  (bytes 16 80)
  CPTX  [sp78]  (bytes 64 00)
  CRCA  [ui32]  223 (bytes 1c f8 cd df)
  CRCB  [ui32]  39 (bytes 30 50 8f 27)
  CRCC  [ui32]  45 (bytes c2 7c d0 2d)
  CRCF  [ui32]  6 (bytes f6 fa cc 06)
  CRCK  [ui32]  0 (bytes 00 00 00 00)
  CRCR  [ui32]  8 (bytes 39 cf aa 08)
  CRCS  [ui32]  110 (bytes 06 fe 1e 6e)
  CRCU  [ui32]  220 (bytes 38 e8 a2 dc)
  CRCa  [ui32]  223 (bytes 1c f8 cd df)
  CRCb  [ui32]  39 (bytes 30 50 8f 27)
  CRCc  [ui32]  45 (bytes c2 7c d0 2d)
  CRCr  [ui32]  8 (bytes 39 cf aa 08)
  CRCs  [ui32]  110 (bytes 06 fe 1e 6e)
  CRCu  [ui32]  220 (bytes 38 e8 a2 dc)
  D1CA  [ui16]  144 (bytes 00 90)
  D1CD  [ui16]  144 (bytes 00 90)
  D1CR  [ui16]  87 (bytes 01 57)
  D1Cd  [hex_]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 02)
  D1IC  [ui16]  255 (bytes ff ff)
  D1IR  [ui16]  0 (bytes 00 00)
  D1JA  [ui32]  76 (bytes 00 00 1d 4c)
  D1JB  [ui32]  76 (bytes 00 00 1d 4c)
  D1JD  [{jst]  (bytes 00 00 1d 4c 00 00 1d 4c 1d 4c 1d 4c 1d 4c 00 00 00)
  D1JR  [ui32]  0 (bytes 00 00 00 00)
  D1JS  [ui32]  0 (bytes 00 00 00 00)
  D1LR  [ui8 ]  1 (bytes 01)
  D1VC  [ui16]  0 (bytes 00 00)
  D1VM  [ui16]  0 (bytes 00 00)
  D1VR  [ui16]  0 (bytes 00 00)
  D1VX  [ui16]  0 (bytes 00 00)
  D1if  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D1ih  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D1ii  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1im  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1in  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1is  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D2CA  [ui16]  179 (bytes 00 b3)
  D2CD  [ui16]  179 (bytes 00 b3)
  D2CR  [ui16]  219 (bytes 01 db)
  D2Cd  [hex_]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 06)
  D2IC  [ui16]  255 (bytes ff ff)
  D2IR  [ui16]  0 (bytes 00 00)
  D2JA  [ui32]  76 (bytes 00 00 1d 4c)
  D2JB  [ui32]  76 (bytes 00 00 1d 4c)
  D2JD  [{jst]  (bytes 00 00 1d 4c 00 00 1d 4c 1d 4c 1d 4c 1d 4c 00 00 00)
  D2JR  [ui32]  0 (bytes 00 00 00 00)
  D2JS  [ui32]  0 (bytes 00 00 00 00)
  D2LR  [ui8 ]  1 (bytes 01)
  D2VC  [ui16]  0 (bytes 00 00)
  D2VM  [ui16]  0 (bytes 00 00)
  D2VR  [ui16]  0 (bytes 00 00)
  D2VX  [ui16]  0 (bytes 00 00)
  D2if  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D2ih  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D2ii  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D2im  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D2in  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D2is  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D3CA  [ui16]  65 (bytes 00 41)
  D3CD  [ui16]  65 (bytes 00 41)
  D3CR  [ui16]  142 (bytes 00 8e)
  D3Cd  [hex_]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D3IC  [ui16]  255 (bytes ff ff)
  D3IR  [ui16]  0 (bytes 00 00)
  D3JA  [ui32]  76 (bytes 00 00 1d 4c)
  D3JB  [ui32]  76 (bytes 00 00 1d 4c)
  D3JD  [{jst]  (bytes 00 00 1d 4c 00 00 1d 4c 1d 4c 1d 4c 1d 4c 00 00 00)
  D3JR  [ui32]  0 (bytes 00 00 00 00)
  D3JS  [ui32]  0 (bytes 00 00 00 00)
  D3LR  [ui8 ]  1 (bytes 01)
  D3VC  [ui16]  0 (bytes 00 00)
  D3VM  [ui16]  0 (bytes 00 00)
  D3VR  [ui16]  0 (bytes 00 00)
  D3VX  [ui16]  0 (bytes 00 00)
