Num: b0=0 b1=0 b2=1 b3=4c size=4
  MACA  [ui32]  0 (bytes 00 00 00 00)
  MACM  [flag]  (bytes 01)
  MACR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSAL  [ui8 ]  75 (bytes 4b)
  MSAc  [fp88]  (bytes 00 00)
  MSAg  [fp88]  (bytes 00 00)
  MSAm  [fp88]  (bytes 00 00)
  MSDI  [flag]  (bytes 00)
  MSDS  [ui8 ]  0 (bytes 00)
  MSDV  [hex_]  (bytes 80)
  MSDW  [flag]  (bytes 00)
  MSG3  [flag]  (bytes 00)
  MSLD  [ui8 ]  0 (bytes 00)
  MSMA  [fp6a]  (bytes 00 00)
  MSPA  [fp6a]  (bytes 00 00)
  MSPC  [ui8 ]  10 (bytes 0a)
  MSPS  [ui16]  1 (bytes 00 01)
  MSPV  [ui8 ]  0 (bytes 00)
  MSSD  [si8 ]  (bytes 03)
  MSSE  [ui16]  0 (bytes 00 00)
  MSSF  [ui32]  3 (bytes 00 00 00 03)
  MSSG  [ui32]  3 (bytes 00 00 00 03)
  MSSP  [si8 ]  (bytes 05)
  MSSS  [{mss]  (bytes 00)
  MSTC  [ui16]  0 (bytes 00 00)
  MSTM  [ui8 ]  1 (bytes 01)
  MSTS  [ui8 ]  8 (bytes 08)
  MSTc  [ui8 ]  0 (bytes 00)
  MSTf  [ui8 ]  0 (bytes 00)
  MSTg  [ui8 ]  0 (bytes 00)
  MSTm  [ui8 ]  0 (bytes 00)
  MSWR  [ui8 ]  0 (bytes 00)
  MSWr  [ui8 ]  0 (bytes 00)
  MVBO  [hex_]  (bytes ff ff)
  NATJ  [ui8 ]  0 (bytes 00)
  NATi  [ui16]  0 (bytes 00 00)
  NOPB  [ui8 ]  0 (bytes 00)
  NTOK  [ui8 ]  0 (bytes 00)
  ONMI  [ui8 ]  0 (bytes 00)
  PC0C  [sp96]  (bytes 05 13)
  PC0G  [sp96]  (bytes 00 03)
  PC1R  [sp96]  (bytes 00 49)
  PC5R  [sp96]  (bytes 00 62)
  PCPC  [sp96]  (bytes 05 d3)
  PCPG  [sp96]  (bytes 00 0d)
  PCPL  [sp96]  (bytes 10 40)
  PCPT  [sp96]  (bytes 07 64)
  PCSR  [sp96]  (bytes 00 38)
  PCTR  [sp96]  (bytes 05 fb)
  PD2R  [sp96]  (bytes 1b c8)
  PD2S  [sp96]  (bytes 1b a0)
  PDTR  [sp96]  (bytes 1b c8)
  PG0R  [sp96]  (bytes 02 33)
  PM0R  [sp96]  (bytes 00 00)
  PZ0E  [sp96]  (bytes 0c 00)
  PZ0G  [sp96]  (bytes 02 33)
  PZ0T  [si8 ]  (bytes 09)
  PZ2E  [sp96]  (bytes 12 a6)
  PZ2G  [sp96]  (bytes 06 6b)
  PZ2T  [si8 ]  (bytes 09)
  PZGT  [si8 ]  (bytes 09)
  Pc0C  [sp96]  (bytes 07 1f)
  Pc0G  [sp96]  (bytes 00 04)
  RBr   [ch8*]  (bytes 6b 36 30 6b 36 32 00 00)
  REV   [{rev]  (bytes 01 71 0f 00 00 22)
  RMde  [char]  (bytes 41)
  RPlt  [ch8*]  (bytes 6b 36 30 00 00 00 00 00)
  RSvn  [ui32]  0 (bytes 00 00 00 00)
  RVBF  [{rev]  (bytes 01 71 0f 00 00 22)
  RVUF  [{rev]  (bytes 01 71 0f 00 00 22)
  SAS!  [hex_]  (bytes 00 00 ff ff)
  SBF   [hex_]  (bytes 00 00 00 00)
  SBFC  [flag]  (bytes 00)
  SBFD  [hex_]  (bytes 00 00 00 00)
  SBFE  [flag]  (bytes 01)
  SBFN  [hex_]  (bytes 00 00 00 00)
  SBFU  [hex_]  (bytes 00 00 00 08)
  SCIA  [ui16]  248 (bytes 03 f8)
  SCII  [ui8 ]  0 (bytes 00)
  SCIL  [ui8 ]  0 (bytes 00)
  SCTg  [sp78]  (bytes 46 00)
  SCXC  [sp78]  (bytes 56 00)
  SDPE  [ui8 ]  0 (bytes 00)
  SDRd  [ui16]  0 (bytes 00 00)
  SFBR  [ui8 ]  6 (bytes 06)
  SGHT  [ui8 ]  0 (bytes 00)
  SGTT  [sp78]  (bytes 52 00)
  SGTg  [sp78]  (bytes 4d 00)
  SHTg  [sp78]  (bytes 06 00)
  SIS!  [hex_]  (bytes 00 00)
  SIT!  [hex_]  (bytes 00 00)
  SIU!  [hex_]  (bytes 00 00)
  SIV!  [hex_]  (bytes 00 00)
  SIW!  [hex_]  (bytes 00 00)
  SL0F  [sp78]  (bytes 3a 66)
  SL0P  [sp78]  (bytes 42 00)
  SL0S  [sp78]  (bytes 44 00)
  SL0W  [sp78]  (bytes 3c 66)
  SL2F  [sp78]  (bytes 3a 66)
  SL2P  [sp78]  (bytes 42 00)
  SL2S  [sp78]  (bytes 44 00)
  SL2W  [sp78]  (bytes 3c 66)
  SMBC  [ch8*]  (bytes 00 00 00 00 00 00)
  SMBG  [ui8 ]  0 (bytes 00)
  SMBR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SMBS  [ch8*]  (bytes 00 00)
  SMBW  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SOT0  [sp78]  (bytes 37 00)
  SOT1  [sp78]  (bytes 35 00)
  SOT2  [sp78]  (bytes 35 00)
  SOT3  [sp78]  (bytes 32 00)
  SOT4  [sp78]  (bytes 30 00)
  SOTg  [sp78]  (bytes 37 00)
  SPH0  [ui16]  0 (bytes 00 00)
  SPHR  [ui32]  0 (bytes 00 00 00 00)
  SPHS  [ui8 ]  0 (bytes 00)
  SPHT  [ui16]  0 (bytes 00 00)
