PM ASL data store: /var/log/powermanagement
2020-01-14 12:40:50 +0100 ShutdownCause       	SMC shutdown cause: 0: Battery disconnected                                	          

Time stamp                Domain              	Message                                                                    	Duration  	Delay     
==========                ======              	=======                                                                    	========  	=====     
UUID: (null)
2020-01-14 12:44:28 +0100 Assertions          	PID 679(fsck_apfs) Created PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008121 [System: PrevDisp DeclUser IntPrevDisp kDisp]          
2020-01-14 12:44:28 +0100 Assertions          	PID 679(fsck_apfs) Released PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008121 [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 12:45:41 +0100 Assertions          	PID 752(fsck_apfs) Created PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008167 [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2020-01-14 12:45:41 +0100 Assertions          	PID 752(fsck_apfs) Released PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008167 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:46:05 +0100 Assertions          	PID 822(fsck_apfs) Created PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x5000081d3 [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2020-01-14 12:46:05 +0100 Assertions          	PID 822(fsck_apfs) Released PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x5000081d3 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:46:09 +0100 Assertions          	PID 115(apsd) Released ApplePushServiceTask "com.apple.apsd-login" 00:01:53  id:0x0xb000080bd [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:46:11 +0100 Assertions          	PID 106(mds) Released BackgroundTask "com.apple.metadata.mds.power" 00:05:14  id:0x0xb0000803d [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:46:49 +0100 Assertions          	PID 211(nsurlsessiond) Released PreventUserIdleSystemSleep "NSURLSessionTask E2E15BF8-39D3-48F3-AB2E-CF4CCD295C09" 00:01:04  id:0x0x100008170 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:46:49 +0100 Assertions          	PID 211(nsurlsessiond) Released PreventUserIdleSystemSleep "NSURLSessionTask C1D056BD-49BC-44E7-9FB4-10C694A726F2" 00:01:05  id:0x0x10000816f [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:47:04 +0100 Assertions          	PID 717(system_installd) Released PreventUserIdleSystemSleep "Installing Software (com.apple.PackageKit.installd.commit)" 00:01:03  id:0x0x1000081ce [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 12:48:23 +0100 Assertions          	PID 925(fsck_apfs) Created PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008222 [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2020-01-14 12:48:23 +0100 Assertions          	PID 925(fsck_apfs) Released PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x500008222 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:48:29 +0100 Assertions          	PID 618(backupd) ClientDied PreventUserIdleSystemSleep "Time Machine backup" 00:04:11  id:0x0x1000080ca [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 12:48:29 +0100 Assertions          	PID 618(backupd) ClientDied BackgroundTask "Time Machine backup" 00:04:11  id:0x0xb000080c9 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
