PM ASL data store: /var/log/powermanagement
2021-02-01 21:13:49 +0100 ShutdownCause       	SMC shutdown cause: 1: Normal warm reset                                   	          

Time stamp                Domain              	Message                                                                    	Duration  	Delay     
==========                ======              	=======                                                                    	========  	=====     
UUID: (null)
2021-02-01 21:23:58 +0100 Assertions          	PID 150(PowerUIAgent) Released MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd00008254 [System: PrevSleep DeclUser BGTask kCPU kDisp]          
2021-02-01 21:24:15 +0100 Assertions          	PID 129(loginwindow) TimedOut PreventSystemSleep "com.apple.loginwindow.minibuddysleepassert" 00:10:00  id:0x0x70000805e [System: PrevSleep DeclUser BGTask kCPU kDisp]          
2021-02-01 21:24:15 +0100 Assertions          	Summary- [System: PrevSleep DeclUser BGTask kCPU kDisp] Using AC(Charge: 66)          
2021-02-01 21:24:29 +0100 Assertions          	PID 424(UserEventAgent) Released BackgroundTask "com.apple.SafariBookmarksSyncAgent.XPC.ZoneSubscriptionRegistration" 00:08:44  id:0x0xb00008215 [System: PrevSleep DeclUser BGTask kCPU kDisp]          
2021-02-01 21:24:32 +0100 Assertions          	PID 424(UserEventAgent) Released BackgroundTask "com.apple.ap.adprivacyd.reconcile" 00:02:04  id:0x0xb00008250 [System: PrevIdle PrevSleep DeclUser BGTask kCPU kDisp]          
2021-02-01 21:24:54 +0100 Assertions          	PID 518(Setup Assistant) Released UserIsActive "FLO UserActive and Clamshell Assertion" 00:10:15  id:0x0x9000080fe [System: PrevSleep DeclUser BGTask kCPU kDisp]          
2021-02-01 21:24:54 +0100 Assertions          	PID 518(Setup Assistant) Released PreventSystemSleep "FLO System Sleep Prevention Assertion" 00:10:15  id:0x0x7000080ff [System: DeclUser BGTask kDisp]          
2021-02-01 21:24:59 +0100 Assertions          	PID 150(PowerUIAgent) Created MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd00008281 [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:24:59 +0100 Assertions          	PID 150(PowerUIAgent) Released MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd00008281 [System: DeclUser BGTask kDisp]          
2021-02-01 21:25:23 +0100 Assertions          	PID 83(mds) Released BackgroundTask "com.apple.metadata.mds.power" 00:11:12  id:0x0xb00008026 [System: DeclUser BGTask kDisp]          
2021-02-01 21:25:25 +0100 Notification        	Display is turned off                                                      	          
2021-02-01 21:25:25 +0100 Assertions          	PID 127(WindowServer) Summary UserIsActive "com.apple.iohideventsystem.queue.tickle serviceID:100000521 name:NULL product:Magic Mouse 2 eventType:17" 00:06:29  id:0x0x900008228 [System: DeclUser BGTask kDisp]          
2021-02-01 21:25:25 +0100 Assertions          	PID 424(UserEventAgent) Summary BackgroundTask "com.apple.SafariBookmarksSyncAgent.XPC.ZoneSubscriptionRegistration" 00:00:51  id:0x0xb00008278 [System: DeclUser BGTask kDisp]          
