BootArgs: Version=2, Revision=0, at 0xffffff800a062000
CommandLine: 
Video: baseAddr=0x90020000, display=1, rowBytes=16384, width=2560, height=1440, depth=32
DevTree: addr=0xa067000, length=0x1a6c
Kernel image: kaddr=0x7500000, ksize=0x2c26000
EFI Runtime: Mode=64, PageStart=0xa069 (0xa069000), PageCount=0xba, SystemTable=0xa0bee10
MemoryMap: Size=0x2550, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
BS_code    000000008b727000 - 000000008b727fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008b728000 - 000000008b739fff 0000000000000012 0000000000000000 000000000000000f
BS_code    000000008b73a000 - 000000008b747fff 000000000000000e 0000000000000000 000000000000000f
BS_data    000000008b748000 - 000000008b75bfff 0000000000000014 0000000000000000 000000000000000f
BS_code    000000008b75c000 - 000000008b75efff 0000000000000003 0000000000000000 000000000000000f
BS_data    000000008b75f000 - 000000008b764fff 0000000000000006 0000000000000000 000000000000000f
BS_code    000000008b765000 - 000000008b768fff 0000000000000004 0000000000000000 000000000000000f
BS_data    000000008b769000 - 000000008b791fff 0000000000000029 0000000000000000 000000000000000f
BS_code    000000008b792000 - 000000008b7a3fff 0000000000000012 0000000000000000 000000000000000f
BS_data    000000008b7a4000 - 000000008b7b5fff 0000000000000012 0000000000000000 000000000000000f
BS_code    000000008b7b6000 - 000000008b7bbfff 0000000000000006 0000000000000000 000000000000000f
BS_data    000000008b7bc000 - 000000008b7cdfff 0000000000000012 0000000000000000 000000000000000f
BS_code    000000008b7ce000 - 000000008b7cffff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008b7d0000 - 000000008b7d3fff 0000000000000004 0000000000000000 000000000000000f
BS_code    000000008b7d4000 - 000000008b7dafff 0000000000000007 0000000000000000 000000000000000f
BS_data    000000008b7db000 - 000000008b7e7fff 000000000000000d 0000000000000000 000000000000000f
BS_code    000000008b7e8000 - 000000008b7e9fff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008b7ea000 - 000000008b7eafff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008b7eb000 - 000000008b7ebfff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008b7ec000 - 000000008b7edfff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008b7ee000 - 000000008b7eefff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008b7ef000 - 000000008b806fff 0000000000000018 0000000000000000 000000000000000f
BS_code    000000008b807000 - 000000008b80efff 0000000000000008 0000000000000000 000000000000000f
BS_data    000000008b80f000 - 000000008b810fff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008b811000 - 000000008b811fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008b812000 - 000000008b813fff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008b814000 - 000000008b824fff 0000000000000011 0000000000000000 000000000000000f
BS_data    000000008b825000 - 000000008b832fff 000000000000000e 0000000000000000 000000000000000f
BS_code    000000008b833000 - 000000008b833fff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008b566000 - 000000008b58afff 0000000000000025 0000000000000000 000000000000000f
BS_data    000000008b58b000 - 000000008b5a7fff 000000000000001d 0000000000000000 000000000000000f
BS_code    000000008b5a8000 - 000000008b5c3fff 000000000000001c 0000000000000000 000000000000000f
BS_data    000000008b5c4000 - 000000008b5c5fff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008b5c6000 - 000000008b5c8fff 0000000000000003 0000000000000000 000000000000000f
BS_data    000000008b5c9000 - 000000008b5cafff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008b5cb000 - 000000008b5cbfff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008b5cc000 - 000000008b5cefff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000008b5cf000 - 000000008b5d8fff 000000000000000a 0000000000000000 000000000000000f
BS_data    000000008b5d9000 - 000000008b5d9fff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008b5da000 - 000000008b5dafff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008b5db000 - 000000008b5dcfff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008b5dd000 - 000000008b5ddfff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008b5de000 - 000000008b5e0fff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000008b5e1000 - 000000008b5e1fff 0000000000000001 0000000000000000 000000000000000f
