Num: b0=0 b1=0 b2=1 b3=7c size=4
  EVRD  [ch8*]  (bytes f6 06 01 00 00 00 ed 45 71 02 ff 00 01 40 00 00 42 19 1a 00 02 40 00 01 42 17 1a 00 02 40 00 01)
  F0Ac  [fpe2]  2630 (bytes 29 19)
  F0ID  [{fds]  (bytes 00 00 0a 00 45 78 68 61 75 73 74 20 20 00 00 00)
  F0Mn  [fpe2]  2000 (bytes 1f 40)
  F0Mt  [ui16]  0 (bytes 00 00)
  F0Mx  [fpe2]  6200 (bytes 60 e0)
  F0Tg  [fpe2]  2625 (bytes 29 04)
  FMAx  [fpe2]  4810 (bytes 4b 28)
  FNum  [ui8 ]  1 (bytes 01)
  FPDc  [fp79]  (bytes 40 d8)
  FPhz  [si16]  (bytes 00 00)
  FS!   [ui16]  0 (bytes 00 00)
  FSDc  [ui16]  0 (bytes 00 00)
  G3WD  [flag]  (bytes 00)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HBKT  [ui32]  0 (bytes 00 05 46 00)
  HBWK  [flag]  (bytes 00)
  HDBS  [ui8 ]  0 (bytes 00)
  HDST  [hex_]  (bytes 00 00 00 00)
  HDSW  [hex_]  (bytes 00 aa 00 aa)
  IB0R  [sp4b]  (bytes 01 93)
  IB0r  [ui16]  128 (bytes 05 80)
  IC0C  [sp69]  (bytes 00 00)
  IC0R  [sp5a]  (bytes 04 29)
  IC0c  [ui16]  64 (bytes 11 40)
  IC0r  [ui16]  64 (bytes 0e 40)
  IC1C  [sp5a]  (bytes 00 00)
  IC1c  [ui16]  64 (bytes 09 40)
  ID0R  [sp5a]  (bytes 06 01)
  ID0r  [ui16]  128 (bytes 27 80)
  IN0C  [sp5a]  (bytes 00 00)
  IN0c  [ui16]  64 (bytes 0b 40)
  IO0R  [sp4b]  (bytes 05 c8)
  IO0r  [ui16]  128 (bytes 1c 80)
  KWS4  [ui8 ]  0 (bytes 00)
  LAcN  [ui8 ]  0 (bytes 00)
  LAtN  [ui16]  0 (bytes 00 00)
  LC2D  [ui16]  203 (bytes 7a cb)
  LC2E  [ui16]  203 (bytes 7a cb)
  LCCN  [ui8 ]  0 (bytes 00)
  LCCQ  [ui8 ]  243 (bytes f3)
  LCKA  [ui8 ]  7 (bytes 07)
  LCSA  [ui8 ]  6 (bytes 06)
  LCTN  [ui8 ]  33 (bytes 21)
  LCTQ  [ui8 ]  92 (bytes 5c)
  LDEN  [ui16]  0 (bytes 00 00)
  LDI2  [ui8 ]  1 (bytes 01)
  LDS4  [ui8 ]  0 (bytes 00)
  LDSP  [flag]  (bytes 00)
  LDWE  [ui32]  1 (bytes 00 00 01 01)
  LKSB  [{lkb]  (bytes 00 00)
  LS!   [ui8 ]  0 (bytes 00)
  LSCF  [{lsc]  (bytes 00 c8 01 90 80 00 02 02 00 20)
  LSDD  [{lsd]  (bytes 00 02 00 03 00 03 00 19)
  LSDU  [{lsd]  (bytes 00 03 00 02 00 14 00 03)
  LSFD  [{lsf]  (bytes 00 00 00 04 00 8c)
  LSFU  [{lsf]  (bytes 00 00 00 04 00 8c)
  LSLB  [{pwm]  (bytes ff ff)
  LSLF  [{pwm]  (bytes 00 00)
  LSLN  [{pwm]  (bytes ff ff)
  LSOF  [flag]  (bytes 01)
  LSOO  [flag]  (bytes 00)
  LSPV  [{pwm]  (bytes 00 00)
  LSRB  [flag]  (bytes 00)
  LSSB  [{lso]  (bytes 00 00)
  LSSE  [flag]  (bytes 01)
  LSSS  [{lso]  (bytes 00 00)
  LSSV  [ui16]  255 (bytes ff ff)
  LSUP  [ui8 ]  0 (bytes 00)
  MACA  [ui32]  0 (bytes 00 00 00 00)
  MACM  [flag]  (bytes 01)
  MACR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MOCF  [ui16]  0 (bytes 83 00)
  MOCN  [ui16]  248 (bytes e0 f8)
  MOHD  [ui8 ]  30 (bytes 1e)
  MOHT  [sp78]  (bytes 01 c0)
  MOLD  [ui8 ]  30 (bytes 1e)
  MOLT  [sp78]  (bytes 00 60)
  MOST  [ui16]  0 (bytes 80 00)
  MOTP  [ui8 ]  1 (bytes 01)
  MOVX  [sp78]  (bytes 00 00)
  MOVY  [sp78]  (bytes 00 00)
  MOVZ  [sp78]  (bytes 00 00)
  MO_X  [sp78]  (bytes ff ff)
  MO_Y  [sp78]  (bytes 00 00)
  MO_Z  [sp78]  (bytes 01 0b)
  MSAL  [ui8 ]  75 (bytes 4b)
  MSAc  [fp88]  (bytes 00 00)
  MSAf  [fp6a]  (bytes 00 00)
  MSAg  [fp88]  (bytes 00 00)
  MSAm  [fp88]  (bytes 00 00)
  MSBC  [ui16]  0 (bytes 00 00)
  MSBP  [ui16]  38 (bytes 0f 26)
  MSBc  [ui16]  4 (bytes 00 04)
  MSBp  [ui16]  38 (bytes 0f 26)
  MSDI  [flag]  (bytes 00)
  MSDW  [flag]  (bytes 00)
  MSG3  [flag]  (bytes 00)
  MSLB  [ui16]  0 (bytes 00 00)
  MSLC  [ui8 ]  0 (bytes 00)
  MSLD  [ui8 ]  0 (bytes 00)
  MSLF  [ui8 ]  0 (bytes 00)
  MSLG  [ui8 ]  0 (bytes 00)
  MSLP  [ui8 ]  0 (bytes 00)
  MSLT  [ui16]  0 (bytes 0d 00)
  MSPA  [fp6a]  (bytes 00 00)
  MSPC  [ui8 ]  16 (bytes 10)
  MSPS  [ui16]  1 (bytes 00 01)
  MSPs  [ui16]  0 (bytes 00 00)
  MSSD  [si8 ]  (bytes 80)
  MSSE  [ui16]  0 (bytes 00 00)
  MSSF  [ui32]  0 (bytes 00 00 00 00)
  MSSG  [ui32]  0 (bytes 00 00 00 00)
  MSSP  [si8 ]  (bytes 05)
  MSSS  [{mss]  (bytes 00)
  MSTC  [ui16]  0 (bytes 00 00)
  MSTM  [ui8 ]  1 (bytes 01)
  MSTS  [ui8 ]  6 (bytes 06)
  MSTc  [ui8 ]  0 (bytes 00)
  MSTf  [ui8 ]  0 (bytes 00)
  MSTg  [ui8 ]  0 (bytes 00)
  MSTm  [ui8 ]  0 (bytes 00)
  MSWA  [fp6a]  (bytes 00 00)
