Num: b0=0 b1=0 b2=1 b3=14 size=4
  MSSS  [{mss]  (bytes 00)
  MSTC  [ui16]  0 (bytes 00 00)
  MSTM  [ui8 ]  1 (bytes 01)
  MSTc  [ui8 ]  0 (bytes 00)
  MSTg  [ui8 ]  0 (bytes 00)
  MSTm  [ui8 ]  0 (bytes 00)
  MSWR  [ui8 ]  0 (bytes 00)
  NATJ  [ui8 ]  0 (bytes 00)
  NATi  [ui16]  0 (bytes 00 00)
  NOPB  [ui8 ]  0 (bytes 00)
  NTOK  [ui8 ]  0 (bytes 00)
  ONMI  [ui8 ]  0 (bytes 00)
  PC0C  [sp96]  (bytes 01 d2)
  PC5R  [sp96]  (bytes 00 00)
  PC8R  [sp96]  (bytes 00 2e)
  PCTR  [sp96]  (bytes 04 49)
  PCVR  [sp96]  (bytes 02 48)
  PDSR  [sp96]  (bytes 1c 44)
  PDTR  [sp96]  (bytes 1b ff)
  PG0R  [sp96]  (bytes 02 c7)
  PZ0E  [sp96]  (bytes 0c 00)
  PZ0G  [sp96]  (bytes 02 c7)
  PZ0T  [si8 ]  (bytes 00)
  PZ2E  [sp96]  (bytes 14 a6)
  PZ2G  [sp96]  (bytes 04 d7)
  PZ2T  [si8 ]  (bytes 00)
  PZGT  [si8 ]  (bytes 00)
  RBr   [ch8*]  (bytes 6b 37 34 00 00 00 00 00)
  REV   [{rev]  (bytes 01 64 0f 00 00 05)
  RMde  [char]  (bytes 41)
  RPlt  [ch8*]  (bytes 6b 37 34 00 00 00 00 00)
  RSvn  [ui32]  0 (bytes 00 00 00 00)
  RVBF  [{rev]  (bytes 01 64 0f 00 00 05)
  RVUF  [{rev]  (bytes 01 64 0f 00 00 05)
  SAS!  [hex_]  (bytes 00 00 13 cb)
  SBF   [hex_]  (bytes 00 00)
  SBFC  [hex_]  (bytes 00 00)
  SBFE  [flag]  (bytes 01)
  SCIA  [ui16]  248 (bytes 03 f8)
  SCII  [ui8 ]  0 (bytes 00)
  SCIL  [ui8 ]  0 (bytes 00)
  SCTg  [sp78]  (bytes 46 00)
  SDPE  [ui8 ]  0 (bytes 00)
  SDRd  [ui16]  0 (bytes 00 00)
  SFBR  [ui8 ]  6 (bytes 06)
  SGHT  [ui8 ]  0 (bytes 00)
  SGTT  [sp78]  (bytes 55 00)
  SGTg  [sp78]  (bytes 50 00)
  SHTg  [sp78]  (bytes 06 00)
  SIS!  [hex_]  (bytes 00 00)
  SIT!  [hex_]  (bytes 00 00)
  SIU!  [hex_]  (bytes 00 00)
  SIV!  [hex_]  (bytes 00 00)
  SIW!  [hex_]  (bytes 00 00)
  SL0F  [sp78]  (bytes 3a 66)
  SL0P  [sp78]  (bytes 42 00)
  SL0S  [sp78]  (bytes 44 00)
  SL0W  [sp78]  (bytes 3c 66)
  SL2F  [sp78]  (bytes 3a 66)
  SL2P  [sp78]  (bytes 42 00)
  SL2S  [sp78]  (bytes 44 00)
  SL2W  [sp78]  (bytes 3c 66)
  SMBC  [ch8*]  (bytes 00 00 00 00 00)
  SMBG  [ui8 ]  0 (bytes 00)
  SMBR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SMBS  [ch8*]  (bytes 00 00)
  SMBW  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SOT0  [sp78]  (bytes 37 00)
  SOT1  [sp78]  (bytes 35 00)
  SOT2  [sp78]  (bytes 35 00)
  SOT3  [sp78]  (bytes 32 00)
  SOT4  [sp78]  (bytes 30 00)
  SOTg  [sp78]  (bytes 37 00)
  SPH0  [ui16]  0 (bytes 00 00)
  SPHR  [ui32]  0 (bytes 00 00 00 00)
  SPHS  [ui8 ]  0 (bytes 00)
  SPHT  [ui16]  0 (bytes 00 00)
  SPHZ  [ui8 ]  (bytes 00)
  SPS!  [hex_]  (bytes 00 00 00 00)
  SS0F  [sp78]  (bytes 32 00)
  SS2F  [sp78]  (bytes 32 00)
  SS2W  [sp78]  (bytes 34 00)
  Sp1F  [sp78]  (bytes 54 00)
  Sp1P  [sp78]  (bytes 59 00)
  Sp1S  [sp78]  (bytes 5e 00)
  Sp2F  [sp78]  (bytes 59 00)
  Sp2P  [sp78]  (bytes 60 00)
  Sp2S  [sp78]  (bytes 65 00)
