Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   36    6 0xffffff7f813f7000 0x10000    0x10000    com.apple.iokit.IOBufferCopyEngineFamily (1) 1367C9EB-E31A-3ECE-9C01-83206F124106 <5 4 3 1>
   37    0 0xffffff7f83bd9000 0x8000     0x8000     com.apple.IOBufferCopyEngineTest (1) 382CE5B1-974C-368E-B8A8-96F94DC0A76B <36 5 4 3 1>
   38    2 0xffffff7f82232000 0x5000     0x5000     com.apple.kext.AppleMatch (1.0.0d1) 2D2996CA-A15E-39E6-9D6B-2BE6DF131972 <4 1>
   39    1 0xffffff7f82237000 0x20000    0x20000    com.apple.security.sandbox (300.0) 802B1D4D-190D-3F24-A8D4-E5919E065D10 <38 33 20 7 6 5 4 3 2 1>
   40    0 0xffffff7f82257000 0x9000     0x9000     com.apple.security.quarantine (3) 80C4548A-999E-3F96-85B0-6C6F95A542A7 <39 38 7 6 5 4 2 1>
   41    0 0xffffff7f82ca5000 0x2000     0x2000     com.apple.security.TMSafetyNet (8) 5B78C369-AA3C-326F-8AE3-C200955DD9A7 <7 6 5 4 2 1>
   42    0 0xffffff7f83a7f000 0x8000     0x8000     com.apple.nke.applicationfirewall (183) CBC1954F-5BBE-3FD5-B1BD-24E999226FEF <7 6 5 4 3 1>
   43    0 0xffffff7f814c6000 0x3000     0x3000     com.apple.driver.AppleAPIC (1.7) 9E5B1713-854A-32DC-89E7-E1765F4B3AE3 <12 4 3>
   44    2 0xffffff7f8157d000 0x4000     0x4000     com.apple.iokit.IOSMBusFamily (1.1) 9CFF73D8-2872-3FC0-AEE5-334587EAA4D0 <5 4 3>
   45    0 0xffffff7f81626000 0x7000     0x7000     com.apple.driver.AppleACPIEC (6.1) 9E133659-A057-3C90-919C-42AB68BE3347 <44 14 11 5 4 3>
   46    0 0xffffff7f83d68000 0x4000     0x4000     com.apple.driver.AppleSMBIOS (2.1) 93D205A0-CB89-3661-9164-52C412DF576C <7 4 3>
   47    0 0xffffff7f83d86000 0x7000     0x7000     com.apple.driver.AppleSMCRTC (1.0) 96B1469D-8354-3712-8625-24AFD71E961C <13 11 7 5 4 3 1>
   48    7 0xffffff7f80c45000 0x7b000    0x7b000    com.apple.iokit.IOHIDFamily (2.0.0) CA3A2F79-8A7C-364A-A64C-7D54344CE861 <7 6 5 4 3 2 1>
   49    0 0xffffff7f818e5000 0x4000     0x4000     com.apple.driver.AppleACPIButtons (6.1) F5EFCDB2-C881-3826-83F4-F498B51B1B38 <48 15 14 11 7 6 5 4 3 1>
   50    1 0xffffff7f8298c000 0x5000     0x5000     com.apple.driver.AppleEFIRuntime (2.1) 53EBD250-01D9-3F65-BE1D-01F6F80AA2D6 <7 6 5 4 3>
   51    1 0xffffff7f82991000 0xb000     0xb000     com.apple.driver.AppleEFINVRAM (2.1) 6DFC64B3-4BF8-3B42-9224-6C9AE0339534 <50 7 6 5 4 3 2 1>
   52    2 0xffffff7f81824000 0x9b000    0x9b000    com.apple.iokit.IOUSBFamily (900.4.1) FD04D3BC-D376-36FD-924C-DD5DF51B0509 <18 17 12 7 5 4 3 1>
   53    1 0xffffff7f839be000 0x4c000    0x4c000    com.apple.driver.usb.AppleUSBXHCI (1.2) 081E81F6-8AFC-32AF-9882-F253BF0AD714 <18 17 11 7 6 5 4 3 1>
   54    0 0xffffff7f83c2c000 0x2f000    0x2f000    com.apple.driver.usb.AppleUSBXHCIPCI (1.2) C22D9641-0E38-35B1-94F7-8400D9025825 <53 18 17 12 11 7 6 5 4 3 1>
   55    0 0xffffff7f8299c000 0x5000     0x5000     com.apple.driver.usb.AppleUSBHostPacketFilter (1.0) 57FFF5A2-5370-3224-AA3A-789F668D91D9 <18 17 7 6 5 4 3 1>
   56    1 0xffffff7f818ed000 0x4000     0x4000     com.apple.driver.AppleUSBHostMergeProperties (1.2) BF817D6C-18AD-3E6B-BAE7-C4033704F3DF <4 3 1>
   57    0 0xffffff7f822de000 0x3000     0x3000     com.apple.driver.AppleUSBMergeNub (900.4.1) EB304267-99F9-3122-B374-04581EACABD0 <56 52 4 3 1>
   58    4 0xffffff7f80d6c000 0x2a000    0x2a000    com.apple.driver.corecapture (1.0.4) 5711C55D-F8EE-3804-ABEC-BC9BE5558337 <7 6 5 4 3 1>
   59    2 0xffffff7f819dc000 0xf5000    0xf5000    com.apple.iokit.IO80211FamilyV2 (1200.12.2) 2BBDCA0B-F018-3FA1-8E21-996D344D7133 <58 33 22 8 7 6 5 4 3 1>
   60    6 0xffffff7f8241c000 0xe000     0xe000     com.apple.iokit.IOSerialFamily (11) 6FE74518-ECD9-32D6-88BE-8F5BCAC911D4 <7 6 5 4 3 1>
   61    2 0xffffff7f8153b000 0x17000    0x17000    com.apple.driver.IOImageLoader (1.0.0) 0996B8C5-0639-366C-953C-AA10F6279667 <58 7 6 5 4 3 1>
   62    2 0xffffff7f81c24000 0x7000     0x7000     com.apple.driver.mDNSOffloadUserClient (1.0.1b8) EE7B82F9-F4B1-39F5-9CE8-02661C018C68 <22 4 3 1>
   63    1 0xffffff7f8242d000 0x1f2000   0x1f2000   com.apple.driver.AppleBCMWLANCore (1.0.0) AF687DD9-12FE-3CC0-B904-B30DC8CEE529 <62 61 60 59 58 33 23 22 7 6 5 4 3 1>
   64    0 0xffffff7f82630000 0x38000    0x38000    com.apple.driver.AppleBCMWLANBusInterfacePCIe (1) 8C46DB54-7674-348C-9A6F-35BD3768B617 <63 61 59 58 22 12 7 6 5 4 3 1>
   65    0 0xffffff7f83639000 0x2e000    0x2e000    com.apple.driver.AppleEthernetAquantiaAqtion (1.3.43) 1892B378-240E-3194-88E9-9488F2451F16 <62 23 22 12 11 6 5 4 3 1>
   66    0 0xffffff7f82c5e000 0x3d000    0x3d000    com.apple.iokit.IONVMeFamily (2.1.0) 3EF9DA00-710A-366D-A6A9-0BFE9F8B2706 <51 33 20 15 12 7 6 5 4 3 1>
   67    0 0xffffff7f83c24000 0x8000     0x8000     com.apple.iokit.IOBufferCopyController (1.0.0) 36FD6DB4-8326-329A-AB43-E31BF130ADC4 <36 12 7 6 5 4 3 1>
   68    6 0xffffff7f81267000 0xeb000    0xeb000    com.apple.iokit.IOThunderboltFamily (6.6.4) B99BBB4C-F5D6-3ACC-A0A4-0A871628C9C1 <5 4 3 1>
