Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   36    0 0xffffff7f83cf9000 0x19000    0x19000    com.apple.driver.DiskImages (493.0.0) 2DA1B2EB-9F3E-35DC-B97A-1BFBF96C69B8 <27 8 7 6 5 3 1>
   37    2 0xffffff7f811a3000 0x5000     0x5000     com.apple.kext.AppleMatch (1.0.0d1) 3EF84ED3-19B9-3751-9C20-0D35423B312A <5 1>
   38    2 0xffffff7f811a8000 0x31000    0x31000    com.apple.security.sandbox (300.0) 9E9CAF5C-A58B-3E9B-9C27-D3C55F11C984 <37 31 27 8 7 6 5 3 2 1>
   39    1 0xffffff7f811d9000 0x8000     0x8000     com.apple.security.quarantine (3) 5131B559-6A94-3492-88D7-B230FA4655F7 <38 37 8 7 6 5 2 1>
   40    0 0xffffff7f83cf6000 0x2000     0x2000     com.apple.security.TMSafetyNet (8) 019EEC25-0C27-30BF-AD86-53D912B8038A <8 7 6 5 2 1>
   41    0 0xffffff7f83deb000 0x9000     0x9000     com.apple.nke.applicationfirewall (190) B2FC3653-C4DE-3DE7-A85E-C5D7CAD190C8 <8 7 6 5 3 1>
   42    0 0xffffff7f84267000 0x3000     0x3000     com.apple.driver.AppleAPIC (1.7) B3F06DED-4C26-3B57-8F54-D39E3F7F7630 <13 5 3>
   43    8 0xffffff7f811ee000 0x7e000    0x7e000    com.apple.iokit.IOHIDFamily (2.0.0) C46D8036-527C-33C9-B99F-10402A621C22 <8 7 6 5 3 2 1>
   44    2 0xffffff7f82361000 0x4000     0x4000     com.apple.iokit.IOSMBusFamily (1.1) 57451E9D-A49B-3CCC-A716-42813985D023 <6 5 3>
   45    0 0xffffff7f824cc000 0x7000     0x7000     com.apple.driver.AppleACPIEC (6.1) 6551C3A9-82DA-3136-AEA8-879E4C6304EE <44 43 18 15 12 8 7 6 5 3 1>
   46    0 0xffffff7f8368b000 0x4000     0x4000     com.apple.driver.AppleSMBIOS (2.1) C5F08F15-7B52-3083-AC10-2B56471BECD1 <8 5 3>
   47    0 0xffffff7f81ee5000 0x8000     0x8000     com.apple.driver.AppleRTC (2.0) E0A71F7C-2DCB-305E-AACC-2FE7ADC02B51 <12 8 6 5 3 1>
