Num: b0=0 b1=0 b2=2 b3=6f size=4
  ENV0  [ui8 ]  3 (bytes 03)
  EPCA  [ui32]  0 (bytes 00 00 b0 00)
  EPCF  [flag]  (bytes 01)
  EPCI  [ui32]  0 (bytes 08 40 f0 00)
  EPCV  [ui16]  1 (bytes 00 01)
  EPMA  [ch8*]  (bytes 00 00 a8 10)
  EPMI  [ui8 ]  0 (bytes 00)
  EPUA  [ui32]  0 (bytes 00 00 a8 00)
  EPUF  [flag]  (bytes 01)
  EPUI  [ui32]  1 (bytes 08 40 00 01)
  EPUV  [ui16]  1 (bytes 00 01)
  ERCE  [flag]  (bytes 00)
  ERCR  [ui16]  10 (bytes 00 0a)
  ERCS  [flag]  (bytes 00)
  EVCT  [hex_]  (bytes 04 04)
  EVHF  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  EVMD  [ui32]  0 (bytes 00 00 00 00)
  EVRD  [ch8*]  (bytes f6 06 04 00 00 01 4b 08 93 03 82 01 0d 01 4b 0d 93 04 00 02 03 01 4b 0e a3 05 00 00 01 01 4a b9)
  EVSL  [ui8 ]  0 (bytes 00)
  F0Ac  [fpe2]  1801 (bytes 1c 24)
  F0ID  [{fds]  (bytes 00 00 0a 00 45 78 68 61 75 73 74 20 20 00 00 00)
  F0Mn  [fpe2]  1800 (bytes 1c 20)
  F0Mt  [ui16]  0 (bytes 00 00)
  F0Mx  [fpe2]  4800 (bytes 4b 00)
  F0Tg  [fpe2]  1800 (bytes 1c 20)
  FNum  [ui8 ]  1 (bytes 01)
  FOff  [ui8 ]  0 (bytes 00)
  FPDc  [fp79]  (bytes 2a 30)
  FRmn  [ui16]  0 (bytes 00 00)
  FRmp  [ui16]  0 (bytes 00 00)
  FS!   [ui16]  0 (bytes 00 00)
  FSDc  [ui16]  0 (bytes 69 00)
  FlCa  [ui8 ]  0 (bytes 00)
  FlCs  [hex ]  (bytes 00 01 04 06 07 09 0b 0c)
  FlGa  [ui8 ]  0 (bytes 00)
  FlGs  [hex ]  (bytes 00 02 05 07 08 0a 0c 0e)
  FlL0  [flt ]  (bytes 00 00 00 00)
  FlL1  [flt ]  (bytes 00 00 40 41)
  FlL2  [flt ]  (bytes 00 00 88 41)
  FlL3  [flt ]  (bytes 00 00 b0 41)
  FlL4  [flt ]  (bytes 00 00 d8 41)
  FlL5  [flt ]  (bytes 00 00 00 42)
  FlL6  [flt ]  (bytes 00 00 14 42)
  FlL7  [flt ]  (bytes 00 00 28 42)
  FlU0  [flt ]  (bytes 00 00 70 41)
  FlU1  [flt ]  (bytes 00 00 a0 41)
  FlU2  [flt ]  (bytes 00 00 c8 41)
  FlU3  [flt ]  (bytes 00 00 f0 41)
  FlU4  [flt ]  (bytes 00 00 0c 42)
  FlU5  [flt ]  (bytes 00 00 20 42)
  FlU6  [flt ]  (bytes 00 00 34 42)
  FlU7  [flt ]  (bytes 00 00 7a 44)
  G3AO  [ui32]  0 (bytes 00 00 00 00)
  G3WD  [flag]  (bytes 00)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HBKT  [ui32]  0 (bytes 00 05 46 00)
  HC0N  [ui8 ]  7 (bytes 07)
  HC0T  [ui8 ]  13 (bytes 0d)
  HDBS  [ui8 ]  1 (bytes 01)
  HDST  [hex_]  (bytes 00 00 00 00)
  HDSW  [hex_]  (bytes 00 00 00 00)
  HI0N  [ui8 ]  17 (bytes 11)
  HI0T  [ui8 ]  0 (bytes 00)
  HI1N  [ui8 ]  17 (bytes 11)
  HI1T  [ui8 ]  0 (bytes 00)
  HNVD  [ui16]  0 (bytes 00 00)
  I50R  [sp5a]  (bytes 02 63)
  I50r  [ui16]  166 (bytes 00 a6)
  IAPC  [sp2d]  (bytes 06 94)
  IAPc  [ui16]  239 (bytes 00 ef)
  IC0C  [sp78]  (bytes 07 40)
  IC0R  [sp3c]  (bytes 11 65)
  IC0c  [ui16]  19 (bytes 01 13)
  IC0r  [ui16]  231 (bytes 02 e7)
  IC1C  [sp3c]  (bytes 08 79)
  IC1c  [ui16]  71 (bytes 01 47)
  ID0R  [sp5a]  (bytes 06 b1)
  ID0S  [spd2]  (bytes 00 41)
  ID0r  [ui16]  196 (bytes 01 c4)
  IH0R  [sp2d]  (bytes 0a aa)
  IH0r  [ui16]  150 (bytes 01 96)
  IH1R  [sp3c]  (bytes 00 0b)
  IH1r  [ui16]  2 (bytes 00 02)
  II0R  [sp3c]  (bytes 00 15)
  II0r  [ui16]  4 (bytes 00 04)
  IM0C  [sp3c]  (bytes 09 e2)
  IM0R  [sp2d]  (bytes 02 46)
  IM0c  [ui16]  250 (bytes 02 fa)
  IM0r  [ui16]  177 (bytes 00 b1)
  IM1C  [sp1e]  (bytes 19 4c)
  IM1c  [ui16]  237 (bytes 03 ed)
  KDD0  [hex_]  (bytes 24 b2 36 36 2e 12 f2 b7 e3 e0 48 45 cc 6a 49 c1 0f 6d 3f 85 34 bd e8 7e 2f 85 59 41 00 00 2b ac)
  KDD1  [hex_]  (bytes 00 00 00 00 00 00 d0 96 00 00 00 00 6a 21 00 00 00 00 00 00 00 00 0d 78 00 00 00 00 36 6f 00 00)
  KDFT  [ui8 ]  2 (bytes 02)
  KDTP  [ui8 ]  1 (bytes 01)
  LAcN  [ui8 ]  0 (bytes 00)
  LAtN  [ui16]  0 (bytes 00 00)
  LC2D  [ui16]  30 (bytes 00 1e)
  LC2E  [ui16]  30 (bytes 00 1e)
  LCCC  [ui8 ]  0 (bytes 00)
  LCCN  [ui8 ]  0 (bytes 00)
  LCCQ  [ui8 ]  0 (bytes 00)
  LCKA  [ui8 ]  35 (bytes 23)
  LCKN  [ui8 ]  91 (bytes 5b)
  LCLD  [ui16]  0 (bytes 00 00)
  LCLG  [ui8 ]  0 (bytes 00)
  LCSA  [ui8 ]  0 (bytes 00)
  LCTN  [ui8 ]  222 (bytes de)
  LCTQ  [ui8 ]  102 (bytes 66)
  LDEN  [ui16]  0 (bytes 00 00)
  LDI2  [ui8 ]  1 (bytes 01)
  LDKN  [ui8 ]  2 (bytes 02)
  LDLG  [ui8 ]  0 (bytes 00)
  LDLT  [ui8 ]  1 (bytes 01)
  LDS4  [ui8 ]  0 (bytes 00)
  LDSP  [flag]  (bytes 00)
  LDT1  [ui8 ]  0 (bytes 00)
  LDT2  [ui16]  0 (bytes 00 00)
  LDT4  [ui32]  0 (bytes 00 00 00 00)
  LDTF  [ui16]  0 (bytes 00 00)
  LDWE  [ui32]  0 (bytes 00 00 00 00)
  LPMC  [ui32]  0 (bytes 00 00 00 00)
  LS!   [ui8 ]  0 (bytes 00)
  LSCF  [{lsc]  (bytes 05 dc 01 90 80 00 01 4c 00 1b)
  LSDD  [{lsd]  (bytes 00 02 00 03 00 03 00 19)
  LSDU  [{lsd]  (bytes 00 03 00 02 00 14 00 03)
  LSFD  [{lsf]  (bytes 00 00 00 04 00 80)
  LSFU  [{lsf]  (bytes 17 70 00 07 00 3c)
  LSLB  [{pwm]  (bytes ff ff)
  LSLF  [{pwm]  (bytes 00 00)
  LSLN  [{pwm]  (bytes 4e 20)
  LSOF  [flag]  (bytes 00)
  LSOO  [flag]  (bytes 00)
  LSPV  [{pwm]  (bytes 0f 98)
  LSRB  [flag]  (bytes 00)
  LSSB  [{lso]  (bytes 00 00)
  LSSE  [flag]  (bytes 01)
  LSSS  [{lso]  (bytes 00 00)
  LSSV  [ui16]  255 (bytes ff ff)
  LSUP  [ui8 ]  0 (bytes 00)
  MACA  [ui32]  0 (bytes 00 00 00 00)
  MACM  [flag]  (bytes 01)
  MACR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MD0R  [ui8 ]  0 (bytes 00)
  MD0W  [ui8 ]  0 (bytes 00)
  MD1R  [ui8 ]  0 (bytes 00)
  MD1W  [ui8 ]  0 (bytes 00)
  MDMT  [flag]  (bytes 00)
  MDr!  [ui8 ]  0 (bytes 00)
  MDw!  [ui8 ]  0 (bytes 00)
  MSAL  [hex_]  (bytes 4b)
  MSAc  [fp88]  (bytes 00 00)
  MSAf  [fp6a]  (bytes 00 00)
  MSAg  [fp88]  (bytes 00 00)
  MSC0  [ui32]  0 (bytes 00 00 00 00)
  MSDW  [flag]  (bytes 00)
  MSF0  [ui16]  0 (bytes 00 00)
  MSF1  [ui8 ]  0 (bytes 00)
  MSF2  [ui8 ]  0 (bytes 00)
  MSF9  [ui8 ]  0 (bytes 00)
  MSFA  [ch8*]  (bytes 00 00 00 00)
  MSFC  [ui8 ]  0 (bytes 00)
  MSFD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSFE  [ui8 ]  0 (bytes 00)
  MSFL  [ch8*]  (bytes 00 00 00 00)
  MSFM  [ui8 ]  0 (bytes 00)
