Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   38    9 0xfffffe0007028000 0x4000     0x4000     com.apple.driver.AppleA7IOP (1.0.2) 00DE8D85-74E7-37FE-8230-83A00A1A2A37 <37 16 5 4 3 1>
   39   10 0xfffffe00074a4000 0xc000     0xc000     com.apple.driver.AppleSEPManager (1.0.1) 410D4ECB-CD57-3011-A6CE-AC7EF26E5E16 <38 37 16 10 7 6 5 4 3 1>
   40    6 0xfffffe00078b8000 0x4000     0x4000     com.apple.iokit.IOSerialFamily (11) 17B98087-1F94-3406-ABA3-5775DAC0C968 <7 6 5 4 3 1>
   41   14 0xfffffe0007870000 0x4000     0x4000     com.apple.iokit.IONetworkingFamily (3.4) 7ADB95C2-DDA0-3888-ADA2-AEED08AA72F4 <7 6 5 4 3 1>
   42    2 0xfffffe0007894000 0x4000     0x4000     com.apple.driver.mDNSOffloadUserClient (1.0.1b8) 8E5FD73F-EE9F-3C0B-A58A-2AC71B58FCD4 <41 4 3 1>
   43    6 0xfffffe00078bc000 0xc000     0xc000     com.apple.iokit.IOSkywalkFamily (1) 1F88E812-BD67-3484-A91E-1C7A7B2445A3 <42 41 7 6 5 4 3 1>
   44    6 0xfffffe0007444000 0x4000     0x4000     com.apple.driver.AppleOnboardSerial (1.0) FCFC7554-95FA-3DC8-BBF3-B72B0FDE36E4 <43 40 7 5 4 3 1>
   45    9 0xfffffe000776c000 0x14000    0x14000    com.apple.iokit.IOAccessoryManager (1.0.0) 8169A89D-005F-33BF-9F42-9F944E4D040D <44 40 35 16 7 6 5 4 3 1>
   46    2 0xfffffe000704c000 0x4000     0x4000     com.apple.driver.AppleARMPMU (1.0) 37EBD551-C8BB-36F4-A826-9A98557D7C99 <45 16 13 7 6 5 4 3 1>
   47    3 0xfffffe00072f4000 0x4000     0x4000     com.apple.driver.AppleEmbeddedTempSensor (1.0.0) 4B927B10-B048-3D36-A4BE-CA2910E0A76B <35 16 13 7 5 4 3 1>
   48   13 0xfffffe00079ec000 0x8000     0x8000     com.apple.driver.RTBuddy (1.0.0) 3A12BF74-042E-31BF-AECF-33F75A8FF0FF <38 37 16 13 10 7 6 5 4 3 1>
   49    8 0xfffffe00074b0000 0xc000     0xc000     com.apple.driver.AppleSMC (3.1.9) 933043B5-E0BC-343F-B201-28EE414B181C <48 47 46 45 38 37 35 16 6 5 4 3>
   50   11 0xfffffe0007600000 0x4000     0x4000     com.apple.driver.usb.AppleUSBCommon (1.0) E10F072D-8042-3ECD-9A54-C4F130A2FDEC <5 4 3 1>
   51    3 0xfffffe0007988000 0x4000     0x4000     com.apple.driver.AppleUSBHostMergeProperties (1.2) 40324569-0982-38EA-9338-B964133D9576 <4 3 1>
   52   17 0xfffffe000795c000 0x14000    0x14000    com.apple.iokit.IOUSBHostFamily (1.2) BEBD77BA-5506-3384-9219-7AAA3C8AEA34 <51 50 49 7 6 5 4 3 1>
   53    2 0xfffffe00079cc000 0x8000     0x8000     com.apple.driver.KernelRelayHost (1) 7C76407B-21D7-351D-97F3-DABAB7734F48 <52 5 4 3>
   54    1 0xfffffe0007270000 0x10000    0x10000    com.apple.driver.AppleCredentialManager (1.0) 562290AB-02D1-333F-8873-BF4581001E40 <53 39 37 10 7 6 5 4 3 1>
   55    0 0xfffffe00072a8000 0x4000     0x4000     com.apple.driver.AppleDiskImages2 (1) 368DE6F7-3F11-3DFA-A160-18F74430E520 <15 5 4 3 1>
   56    3 0xfffffe00072bc000 0x4000     0x4000     com.apple.driver.AppleEffaceableStorage (1.0) C452FD5C-50E6-3372-B116-CC34C65B8268 <7 5 4 3 1>
   57    0 0xfffffe0007308000 0x4000     0x4000     com.apple.driver.AppleFDEKeyStore (28.30) A80D2C87-4117-3CE4-BE32-66E72D03CEB5 <56 10 7 6 5 4 3 1>
   58    0 0xfffffe000739c000 0x4000     0x4000     com.apple.driver.AppleIPAppender (1.0) C4F30E8A-4492-3F62-B0BB-C37AB3974E69 <43 41 7 6 5 4 3 1>
   59    3 0xfffffe00078a0000 0x4000     0x4000     com.apple.iokit.IOSCSIArchitectureModelFamily (436.100.1) 4ED7A785-8008-34BA-BF1E-3D264DCE77B7 <6 5 4 3 1>
   60    1 0xfffffe00078a4000 0x4000     0x4000     com.apple.iokit.IOSCSIBlockCommandsDevice (436.100.1) B8CC1A4E-F3A7-3528-8934-939874D79856 <59 15 6 5 4 3 1>
   61   14 0xfffffe0007898000 0x4000     0x4000     com.apple.iokit.IOPCIFamily (2.9) 26C32B25-AAC8-3686-BD06-E7B930E85116 <7 6 5 4 3>
   62    1 0xfffffe00079b8000 0x4000     0x4000     com.apple.iokit.IOUSBMassStorageDriver (184.100.7) DCF42D12-5E3C-381C-B1E6-2279CD17767C <61 59 52 15 6 5 4 3 1>
   63    1 0xfffffe00074f4000 0x4000     0x4000     com.apple.driver.AppleUSBTDM (511.100.8) EBFADAF6-9F14-38F3-9A89-EBDC0BBB3CA5 <62 60 59 52 20 15 7 6 5 4 3 1>
   64    0 0xfffffe00074a0000 0x4000     0x4000     com.apple.driver.AppleSEPKeyStore (2) 4D12B2E0-9759-376B-AB94-7BBA046685E4 <63 56 54 39 37 20 17 10 7 6 5 4 3 1>
   65    0 0xfffffe00074d0000 0x4000     0x4000     com.apple.driver.AppleSSE (1.0) F7AAA86C-BF63-38BD-88B0-9C25E8ACC863 <53 39 37 7 5 4 3 1>
   66    4 0xfffffe0007648000 0x4000     0x4000     com.apple.iokit.CoreAnalyticsFamily (1) FFEB53C0-3920-34D1-885E-AE6A2273511B <7 6 5 4 3 1>
   67    0 0xfffffe0007670000 0x10000    0x10000    com.apple.iokit.EndpointSecurity (1) AE7C2465-A4FD-35B8-9440-3A4FFBB5B9F3 <23 20 7 6 5 4 3 2 1>
   68    2 0xfffffe0007684000 0x38000    0x38000    com.apple.driver.FairPlayIOKit (68.6.0) 2203A6AD-5CB2-3906-A4E2-39E2454F41EF <7 6 5 4 3 1>
   69    1 0xfffffe00077cc000 0x4000     0x4000     com.apple.iokit.IOBluetoothPacketLogger (8.0.4d5) 9078DE95-7B67-3A02-9D74-6AF45AD5B9A3 <6 5 4 3 1>
   70    3 0xfffffe0007798000 0x28000    0x28000    com.apple.iokit.IOBluetoothFamily (8.0.4d5) D35BE659-EFD0-3433-A580-D993B754A1A6 <69 52 16 13 7 6 5 4 3 1>
   71    1 0xfffffe0007820000 0x4000     0x4000     com.apple.iokit.IOGraphicsFamily (585) 53496851-4130-3FA5-9525-716088235B92 <61 7 5 4 3 1>
   72    0 0xfffffe000782c000 0x4000     0x4000     com.apple.driver.DiskImages (493.0.0) EAD5324D-8710-3F43-940D-A5AC1C8609F2 <15 7 6 5 4 3 1>
   73    0 0xfffffe0007850000 0x4000     0x4000     com.apple.iokit.IOKitRegistryCompatibility (1) D41BD98F-FF1C-3B56-9F53-33AC547C083A <4 3>
   74    0 0xfffffe000799c000 0x4000     0x4000     com.apple.driver.usb.AppleUSBUserHCI (1) 1E97BA26-6E67-365D-A2AD-582846357BE3 <52 50 5 4 3 1>
   75    0 0xfffffe00079bc000 0x4000     0x4000     com.apple.iokit.IOUserEthernet (1.0.1) E74D086E-84B1-3778-876A-D8BA9858EFFF <41 20 6 5 4 3 1>
   76    0 0xfffffe0007404000 0x4000     0x4000     com.apple.driver.AppleMobileApNonce (1) E2CFBD53-F898-3752-9FBA-014F778FFE4C <17 16 7 6 5 4 3 1>
   78    0 0xfffffe00073ec000 0x4000     0x4000     com.apple.driver.AppleM68Buttons (1.0.0d1) 4EE86470-B6A2-35B4-9C31-05A94795FA6E <35 16 7 6 5 4 3 1>
   79    6 0xfffffe00072e8000 0x8000     0x8000     com.apple.driver.AppleEmbeddedPCIE (1) 9CE25031-8768-34E9-AA66-D7D758A451AE <61 25 16 13 7 5 4 3 1>
   80    9 0xfffffe0007ab0000 0x4000     0x4000     com.apple.driver.corecapture (1.0.4) B90FA366-36B5-3973-B745-A89AC22CDF87 <7 6 5 4 3 1>
   81    1 0xfffffe0007434000 0x4000     0x4000     com.apple.driver.AppleMultiFunctionManager (1) 352DE475-DEDB-3A13-9C68-F3C732263A5B <80 79 44 16 7 6 5 4 3 1>
   82    1 0xfffffe0007320000 0x4000     0x4000     com.apple.driver.AppleFireStormErrorHandler (1) 464CCF35-0CDE-3BE4-A67F-2D7B9B1E9E1D <16 13 7 6 5 4 3 1>
   83    0 0xfffffe0007530000 0x8000     0x8000     com.apple.driver.AppleT8101 (1) 7842C0C6-58F4-3CED-BD8B-DACB333F470A <82 16 13 7 6 5 4 3 1>
   84    0 0xfffffe00074bc000 0x4000     0x4000     com.apple.driver.AppleSPIMC (1) 91397872-97CA-380E-8B44-C88EA6C670B8 <16 7 5 4 3 1>
   85    2 0xfffffe000732c000 0x4000     0x4000     com.apple.driver.AppleGPIOICController (1.0.2) F7CE27AC-F3E3-313E-A222-03B158DCC23E <16 13 7 5 4 3 1>
   86    0 0xfffffe0007478000 0x4000     0x4000     com.apple.driver.AppleS5L8940XI2C (1.0.0d2) EFE7AE74-BBF7-3066-86FD-5BA7F458E2C7 <85 16 7 5 4 3 1>
   87    0 0xfffffe0007474000 0x4000     0x4000     com.apple.driver.AppleS5L8920XPWM (1.0.0d1) 90051938-A1C6-3881-999E-D2786B80A4BF <16 7 5 4 3>
   88    0 0xfffffe00073f0000 0x8000     0x8000     com.apple.driver.AppleMCA2-T8103 (540.9) BABACB55-128A-3839-9794-602B403C056F <29 16 7 5 4 3 1>
   89    3 0xfffffe0007858000 0x8000     0x8000     com.apple.iokit.IOMobileGraphicsFamily (343.0.0) 9489F61A-4E05-31A0-8188-273EB1DDC480 <33 27 26 20 16 7 6 5 4 3 1>
   90    0 0xfffffe000740c000 0x14000    0x14000    com.apple.driver.AppleMobileDispH13G-DFR (140.0) BF12E3F7-607C-3D1E-8D64-586C0A101F9B <89 33 27 26 16 7 5 4 3 1>
   91    0 0xfffffe000751c000 0x4000     0x4000     com.apple.driver.AppleSynopsysMIPIDSI (1.0.0) 5ADC68CE-9B07-3612-9BB8-9240A06892F1 <16 7 5 4 3 1>
   92    0 0xfffffe0007528000 0x4000     0x4000     com.apple.driver.AppleT8020DART (1) C240ECB7-82DD-3AD5-A820-489FCBAA2E81 <25 16 7 6 5 4 3 1>
   93    3 0xfffffe000784c000 0x4000     0x4000     com.apple.driver.IOImageLoader (1.0.0) F8DE8488-F834-3706-A080-7D0A06F9DAF1 <80 10 7 6 5 4 3 1>
   94    2 0xfffffe00076cc000 0x4c000    0x4c000    com.apple.iokit.IO80211FamilyV2 (1200.12.2b1) D1D55E3B-F040-3D90-A504-AF12895A53F0 <80 43 41 20 10 7 6 5 4 3 1>
   95    3 0xfffffe000790c000 0x8000     0x8000     com.apple.iokit.IOTimeSyncFamily (980.3) 8DE8255B-60F7-3D17-8230-59FB5AE35D31 <41 16 5 4 3 1>
   96    1 0xfffffe00071d8000 0x5c000    0x5c000    com.apple.driver.AppleBCMWLANCore (1.0.0) 7C5C3F27-DC1B-3868-AFFC-ED8831F61EB9 <95 94 93 80 66 44 43 42 41 40 20 16 10 7 6 5 4 3 1>
   97    3 0xfffffe000724c000 0x4000     0x4000     com.apple.driver.AppleBluetoothDebugService (1) 8CCD48CB-FAEB-3963-8BAC-DA20686C48EA <5 4 3 1>
   98    0 0xfffffe00071c4000 0x14000    0x14000    com.apple.driver.AppleBCMWLANBusInterfacePCIe (1) 0E2F9BF3-C954-3EE7-9C3C-A68832BEC042 <97 96 94 93 80 79 66 61 44 43 41 16 7 6 5 4 3 1>
   99    0 0xfffffe00074d8000 0x4000     0x4000     com.apple.driver.AppleSamsungSerial (1.0.0d1) 85ECF95D-4DA7-382C-80DD-D42163CA75BD <44 40 16 7 5 4 3 1>
  100    4 0xfffffe00075d4000 0x4000     0x4000     com.apple.driver.AppleTypeCPhy (1) F5838A8A-6383-339F-A994-F6DA1AC327D9 <50 16 5 4 3 1>
  101    4 0xfffffe00077f4000 0x10000    0x10000    com.apple.iokit.IODisplayPortFamily (1.0.0) 7B650715-F6D3-3F28-B4F9-4D8E4F63B1C1 <33 32 31 7 6 5 4 3 1>
  102    9 0xfffffe00078e0000 0x2c000    0x2c000    com.apple.iokit.IOThunderboltFamily (9.3.2) 8279E581-0141-3B5A-B713-C68F0B07963C <49 5 4 3 1>
  103    0 0xfffffe00072ac000 0x8000     0x8000     com.apple.driver.AppleDisplayCrossbar (1.0.0) E882D706-AA78-3F59-8017-BFE830ABE6EE <102 101 100 45 33 16 4 3>
  104    0 0xfffffe0007250000 0x4000     0x4000     com.apple.driver.AppleBluetoothModule (1) DA9C63D0-8A61-3064-AB07-910B3D10730C <81 80 16 7 6 5 4 3 1>
  105    0 0xfffffe000753c000 0x4000     0x4000     com.apple.driver.AppleT8103PCIe (1) 315B0E3A-B398-32E8-A9A7-A50906DAC184 <79 61 16 13 7 6 5 4 3 1>
  106    1 0xfffffe0007448000 0x4000     0x4000     com.apple.driver.ApplePIODMA (1) 7AE4B64E-26A5-30D0-B8FF-7C02D236B0D0 <5 4 3 1>
  107    0 0xfffffe0007540000 0x4000     0x4000     com.apple.driver.AppleT8103PCIeC (1) 2422E689-321E-3FA8-840C-96AD961DC839 <106 102 79 61 16 13 7 6 5 4 3 1>
  108    0 0xfffffe0007638000 0x4000     0x4000     com.apple.driver.AudioDMAController-T8103 (1.60.5) 78321C94-009C-36D9-BA12-14FA7219B444 <16 6 5 4 3 1>
  109    0 0xfffffe0007490000 0x4000     0x4000     com.apple.driver.AppleSART (1) DC3FC7FB-FBAD-3DBC-A768-0C20EA7AE20C <16 6 5 4 3>
  110    0 0xfffffe0007580000 0x34000    0x34000    com.apple.driver.AppleThunderboltNHI (7.2.8) 70506062-DC3E-3DB0-9A0A-F67174004CD8 <102 85 61 45 6 5 4 3 1>
  111    0 0xfffffe000747c000 0x4000     0x4000     com.apple.driver.AppleS5L8960XNCO (1) 4B74B855-EB2D-3993-A3CD-38431A105324 <16 13 7 5 4 3 1>
  112    0 0xfffffe0007488000 0x4000     0x4000     com.apple.driver.AppleS8000AES (1) B0A97AEA-612D-373A-AD2B-F10C0D143D37 <17 16 7 6 5 4 3 1>
  113    0 0xfffffe000748c000 0x4000     0x4000     com.apple.driver.AppleS8000DWI (1.0.0d1) 7DE1D3C0-6667-3AED-B76E-38677207A822 <16 7 5 4 3 1>
  114    1 0xfffffe0007b24000 0x4000     0x4000     com.apple.driver.watchdog (1) EDB5578A-B081-34D0-9D65-C4BADE52B83E <7 6 5 4 3 1>
  115    0 0xfffffe0007484000 0x4000     0x4000     com.apple.driver.AppleS5L8960XWatchDogTimer (1) 30F04722-996E-3BC0-B4F8-AF4E4F40FC31 <114 16 13 7 6 5 4 3 1>
  116    0 0xfffffe00073ac000 0x4000     0x4000     com.apple.driver.AppleInterruptController (1.0.0d1) 632DF73A-BB45-3606-8128-3D2D546475B0 <16 7 6 5 4 3 1>
  117    1 0xfffffe0007330000 0x4000     0x4000     com.apple.driver.AppleH10PearlCameraInterface (16.14.0) 8F30E838-7E45-3985-AF62-0060FCE40DED <26 16 13 10 7 6 5 4 3 1>
  118    0 0xfffffe0007350000 0x1c000    0x1c000    com.apple.driver.AppleH13CameraInterface (3.37.2) 0652DD49-2F85-3784-A249-DE2AAAE4B747 <117 26 16 13 10 7 6 5 4 3 1>
  119    0 0xfffffe00073b0000 0x8000     0x8000     com.apple.driver.AppleJPEGDriver (4.6.0) C8A1C069-0F72-36E7-B97A-88210DD7B520 <26 16 7 5 4 3 1>
  120    5 0xfffffe000744c000 0xc000     0xc000     com.apple.driver.ApplePMGR (1) 4AC1FA11-D091-3C4A-9456-5C8E622EF78C <16 13 7 6 5 4 3 1>
