Num: b0=0 b1=0 b2=1 b3=ffffffaf size=4
  EVRD  [ch8*]  (bytes f6 06 01 00 00 00 03 b5 71 05 16 00 08 00 c4 d1 60 10 82 00 ff 80 03 b6 72 05 16 00 06 00 c4 d1)
  EVSL  [ui8 ]  0 (bytes 00)
  F0Ac  [fpe2]  2002 (bytes 1f 48)
  F0ID  [{fds]  (bytes 00 00 0c 00 4c 65 66 74 20 73 69 64 65 20 20 00)
  F0Mn  [fpe2]  2000 (bytes 1f 40)
  F0Mt  [ui16]  0 (bytes 00 00)
  F0Mx  [fpe2]  6200 (bytes 60 e0)
  F0Tg  [fpe2]  2000 (bytes 1f 40)
  F1Ac  [fpe2]  2002 (bytes 1f 48)
  F1ID  [{fds]  (bytes 00 00 0e 00 52 69 67 68 74 20 73 69 64 65 20 00)
  F1Mn  [fpe2]  2000 (bytes 1f 40)
  F1Mt  [ui16]  0 (bytes ff 00)
  F1Mx  [fpe2]  6200 (bytes 60 e0)
  F1Tg  [fpe2]  2000 (bytes 1f 40)
  FNum  [ui8 ]  2 (bytes 02)
  FPDc  [fp79]  (bytes 26 ac)
  FRmn  [ui16]  0 (bytes 00 00)
  FRmp  [ui16]  0 (bytes 00 00)
  FS!   [ui16]  0 (bytes 00 00)
  FSDc  [ui8 ]  (bytes 00)
  G3AO  [ui32]  0 (bytes 00 00 00 00)
  G3WD  [flag]  (bytes 00)
  GTHR  [ui8 ]  1 (bytes 01)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HBKT  [ui32]  0 (bytes 00 05 46 00)
  HDBS  [ui8 ]  0 (bytes 00)
  HDST  [hex_]  (bytes 00 00 00 00)
  HDSW  [hex_]  (bytes 01 a9 01 a9)
  IAPC  [sp5a]  (bytes 00 00)
  IB0P  [sp5a]  (bytes 36 66)
  IBLC  [sp5a]  (bytes 00 00)
  IC0C  [sp78]  (bytes 00 00)
  IC0R  [sp5a]  (bytes 02 06)
  IC1C  [sp5a]  (bytes 00 00)
  IC2C  [sp5a]  (bytes 00 00)
  ID0R  [sp5a]  (bytes 00 00)
  IG0C  [sp5a]  (bytes 00 00)
  IG0R  [sp5a]  (bytes 00 f3)
  IG1C  [sp5a]  (bytes 00 00)
  IG2C  [sp5a]  (bytes 00 00)
  IG3C  [sp5a]  (bytes 00 00)
  IHDC  [sp5a]  (bytes 00 9f)
  IHSP  [sp5a]  (bytes 00 00)
  IM0C  [sp5a]  (bytes 02 09)
  IM1C  [sp5a]  (bytes 00 00)
  IN0C  [sp5a]  (bytes 00 00)
  IO0R  [sp5a]  (bytes 01 bc)
  IPBR  [sp5a]  (bytes 05 67)
  IR1C  [sp5a]  (bytes 00 00)
  LAcN  [ui8 ]  0 (bytes 00)
  LAtN  [ui16]  0 (bytes 00 00)
  LC2D  [ui16]  59 (bytes 79 3b)
  LC2E  [ui16]  59 (bytes 79 3b)
  LCCC  [ui8 ]  0 (bytes 00)
