Num: b0=0 b1=0 b2=2 b3=61 size=4
  FOff  [ui8 ]  0 (bytes 00)
  FPDc  [fp79]  (bytes 32 00)
  FRmn  [ui16]  0 (bytes 00 00)
  FRmp  [ui16]  0 (bytes 00 00)
  FS!   [ui16]  0 (bytes 00 00)
  FSDc  [ui16]  0 (bytes 69 00)
  G3AO  [ui32]  0 (bytes 00 00 00 00)
  G3WD  [flag]  (bytes 00)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HBKT  [ui32]  0 (bytes 00 05 46 00)
  HC0N  [ui8 ]  24 (bytes 18)
  HC0T  [ui8 ]  5 (bytes 05)
  HDBS  [ui8 ]  1 (bytes 01)
  HDST  [hex_]  (bytes 00 00 00 00)
  HDSW  [hex_]  (bytes 00 00 00 00)
  HI0N  [ui8 ]  17 (bytes 11)
  HI0T  [ui8 ]  0 (bytes 00)
  HI1N  [ui8 ]  17 (bytes 11)
  HI1T  [ui8 ]  0 (bytes 00)
  HNVD  [ui16]  0 (bytes 00 00)
  IC0C  [sp78]  (bytes 0f a2)
  ID2E  [sp78]  (bytes 06 79)
  ID2F  [sp78]  (bytes 06 7f)
  ID2I  [sp78]  (bytes 05 5a)
  ID2J  [sp78]  (bytes 00 06)
  ID2L  [ui16]  0 (bytes 04 00)
  ID2R  [sp69]  (bytes 0a b6)
  ID2S  [si16]  (bytes 99 cc)
  ID2T  [sp78]  (bytes 00 05)
  ID2X  [sp69]  (bytes 0a ec)
  IH1R  [sp3c]  (bytes 00 00)
  IM0R  [sp5a]  (bytes 01 95)
  IR35  [sp5a]  (bytes 00 90)
  IR54  [sp4b]  (bytes 04 c7)
  KDD0  [hex_]  (bytes fe de 36 36 7c 86 c1 f6 6a f8 9c 33 b9 11 d7 ae 85 75 a7 d8 35 62 fa 6d 4c 3e f5 17 00 00 ce 8d)
  KDD1  [hex_]  (bytes 00 00 00 00 00 00 d0 96 00 00 00 00 6a 21 00 00 00 00 00 00 00 00 0d 78 00 00 00 00 36 6f 00 00)
  KDFT  [ui8 ]  1 (bytes 01)
  KDTP  [ui8 ]  1 (bytes 01)
  LAcN  [ui8 ]  0 (bytes 00)
  LAtN  [ui16]  0 (bytes 00 00)
  LC2D  [ui16]  20 (bytes 00 14)
  LC2E  [ui16]  20 (bytes 00 14)
  LCCC  [ui8 ]  0 (bytes 00)
  LCCN  [ui8 ]  2 (bytes 02)
  LCCQ  [ui8 ]  2 (bytes 02)
  LCKA  [ui8 ]  14 (bytes 0e)
  LCKN  [ui8 ]  45 (bytes 2d)
  LCLD  [ui16]  0 (bytes 00 00)
  LCLG  [ui8 ]  0 (bytes 00)
  LCSA  [ui8 ]  0 (bytes 00)
