Num: b0=0 b1=0 b2=1 b3=ffffffef size=4
  FNum  [ui8 ]  1 (bytes 01)
  FPDc  [fp79]  (bytes 21 34)
  FRmn  [ui16]  0 (bytes 00 00)
  FRmp  [ui16]  0 (bytes 00 00)
  FS!   [ui16]  0 (bytes 00 00)
  FSDc  [ui16]  0 (bytes 69 00)
  G3AO  [ui32]  0 (bytes 00 00 00 00)
  G3WD  [flag]  (bytes 00)
  GCID  [hex_]  (bytes 11 a2 10 de)
  GTHR  [ui8 ]  1 (bytes 01)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HBKT  [ui32]  0 (bytes 00 05 46 00)
  HDBS  [ui8 ]  1 (bytes 01)
  HDST  [hex_]  (bytes 00 00 00 00)
  HDSW  [hex_]  (bytes 00 01 00 01)
  IC0C  [sp78]  (bytes 18 b2)
  IC0G  [sp69]  (bytes 00 00)
  IC0I  [sp2d]  (bytes 03 c4)
  IC0M  [sp2d]  (bytes 14 97)
  IC0S  [sp2d]  (bytes 02 b7)
  ID2E  [sp78]  (bytes 07 87)
  ID2F  [sp78]  (bytes 07 87)
  ID2I  [sp78]  (bytes 06 e9)
  ID2J  [sp78]  (bytes 00 00)
  ID2L  [ui16]  0 (bytes 04 00)
  ID2R  [sp69]  (bytes 0d d3)
  ID2S  [si16]  (bytes 99 cc)
  ID2T  [sp78]  (bytes 00 02)
  IG0C  [sp87]  (bytes 00 7b)
  IG0F  [sp3c]  (bytes 02 ab)
  IH02  [sp2d]  (bytes 00 13)
  IH05  [sp2d]  (bytes 03 af)
  IH1R  [sp3c]  (bytes 00 04)
  IM0R  [sp5a]  (bytes 04 95)
  IN1R  [sp3c]  (bytes 16 04)
  IR1R  [sp1e]  (bytes 0a 25)
  IW0R  [sp2d]  (bytes 00 00)
  Ic0G  [sp69]  (bytes 00 1f)
  LAcN  [ui8 ]  0 (bytes 00)
  LAtN  [ui16]  0 (bytes 00 00)
  LC2D  [ui16]  103 (bytes 00 67)
  LC2E  [ui16]  103 (bytes 00 67)
  LCCC  [ui8 ]  0 (bytes 00)
  LCCN  [ui8 ]  1 (bytes 01)
  LCCQ  [ui8 ]  0 (bytes 00)
  LCKA  [ui8 ]  81 (bytes 51)
  LCKN  [ui8 ]  247 (bytes f7)
  LCLD  [ui16]  0 (bytes 00 00)
  LCLG  [ui8 ]  0 (bytes 00)
  LCSA  [ui8 ]  0 (bytes 00)
  LCTN  [ui8 ]  120 (bytes 78)
  LCTQ  [ui8 ]  159 (bytes 9f)
  LDEN  [ui16]  0 (bytes 00 00)
  LDI2  [ui8 ]  1 (bytes 01)
  LDKN  [ui8 ]  2 (bytes 02)
  LDLG  [ui8 ]  0 (bytes 00)
  LDS4  [ui8 ]  0 (bytes 00)
  LDSP  [flag]  (bytes 00)
  LDT1  [ui8 ]  0 (bytes 00)
  LDT2  [ui16]  0 (bytes 00 00)
  LDT4  [ui32]  0 (bytes 00 00 00 00)
  LDTF  [ui16]  0 (bytes 00 00)
  LDWE  [ui32]  0 (bytes 00 00 0d 00)
  MACA  [ui32]  0 (bytes 00 00 00 00)
  MACM  [flag]  (bytes 01)
  MACR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MDSC  [hex_]  (bytes 0f)
  MSAL  [hex_]  (bytes 4b)
  MSAc  [fp88]  (bytes 00 00)
  MSAf  [fp6a]  (bytes 00 00)
  MSAg  [fp88]  (bytes 00 00)
  MSAi  [fp88]  (bytes 00 00)
  MSAm  [fp88]  (bytes 00 00)
  MSDV  [hex_]  (bytes a2)
  MSDW  [flag]  (bytes 00)
  MSG3  [flag]  (bytes 00)
  MSGA  [fp6a]  (bytes 00 00)
  MSLD  [ui8 ]  0 (bytes 00)
  MSLF  [ui8 ]  0 (bytes 00)
  MSLG  [ui8 ]  0 (bytes 00)
  MSLP  [ui8 ]  0 (bytes 00)
  MSLS  [ui8 ]  8 (bytes 08)
  MSLT  [fp88]  (bytes 21 00)
  MSLU  [fp88]  (bytes 00 00)
  MSPA  [fp6a]  (bytes 00 00)
  MSPB  [flag]  (bytes 00)
  MSPC  [ui8 ]  25 (bytes 19)
  MSPE  [ui8 ]  0 (bytes 00)
  MSPI  [ui8 ]  0 (bytes 00)
  MSPM  [ui8 ]  0 (bytes 00)
  MSPS  [ui16]  1 (bytes 00 01)
  MSPT  [ui8 ]  43 (bytes 1d 0f 00 09 0e)
  MSPV  [ui8 ]  1 (bytes 01)
  MSRC  [ui32]  2 (bytes 00 00 00 02)
  MSSD  [si8 ]  (bytes 03)
  MSSF  [ui32]  0 (bytes 00 00 00 00)
  MSSG  [ui32]  0 (bytes 00 00 00 00)
  MSSP  [si8 ]  (bytes 05)
  MSSR  [flag]  (bytes 01)
  MSSS  [{mss]  (bytes 00)
  MSTC  [ui16]  0 (bytes 00 00)
  MSTS  [ui8 ]  4 (bytes 04)
  MSTc  [ui8 ]  0 (bytes 00)
  MSTe  [ui8 ]  0 (bytes 00)
  MSTf  [ui8 ]  0 (bytes 00)
  MSTi  [ui8 ]  0 (bytes 00)
  MSTm  [ui8 ]  0 (bytes 00)
  MSWr  [ui8 ]  0 (bytes 00)
  MSXC  [ch8*]  (bytes 00 00 00 00)
  MSXD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXK  [ch8*]  (bytes 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f 10 11 12 13 14 15 16 17 18 19 1a 1b 1c 1d 1e 1f 20)
  MSXN  [ui8 ]  49 (bytes 31)
  MSXS  [ch8*]  (bytes 01 02 03 04)
  MSXb  [ui8 ]  0 (bytes 00)
  MSXc  [ch8*]  (bytes 00 00 00 00)
  MSXd  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXk  [ch8*]  (bytes 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f 10 11 12 13 14 15 16 17 18 19 1a 1b 1c 1d 1e 1f 20)
  MSXm  [ui16]  8 (bytes 00 08)
  MSXn  [ui8 ]  50 (bytes 32)
  MSXs  [ui32]  4 (bytes 01 02 03 04)
  MSa!  [hex_]  (bytes 00)
  MSac  [ui8 ]  0 (bytes 00)
  MSaf  [ui8 ]  0 (bytes 00)
  MSag  [ui8 ]  0 (bytes 00)
  MSah  [ui8 ]  0 (bytes 00)
  MSai  [ui8 ]  0 (bytes 00)
  MSam  [ui8 ]  0 (bytes 00)
  MSap  [ui8 ]  0 (bytes 00)
  MSci  [ui8 ]  (bytes 00)
