Num: b0=0 b1=0 b2=2 b3=6c size=4
  CHUE  [flag]  (bytes 01)
  CHUV  [ui16]  0 (bytes 00 00)
  CLKT  [ui32]  203 (bytes 00 00 54 cb)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  244 (bytes c2 f4)
  CPIC  [spc3]  (bytes 00 90)
  CPIR  [spc3]  (bytes 00 d8)
  CPIX  [spc3]  (bytes 00 00)
  CPL1  [sp78]  (bytes 00 00)
  CPL2  [sp78]  (bytes 00 00)
  CPL3  [ui32]  0 (bytes 00 00 00 00)
  CPPL  [sp78]  (bytes 04 80)
  CPTX  [sp78]  (bytes 5f 00)
  CRCA  [ui32]  64 (bytes ad b7 84 40)
  CRCB  [ui32]  139 (bytes 49 2c 86 8b)
  CRCC  [ui32]  128 (bytes d2 87 df 80)
  CRCF  [ui32]  179 (bytes 97 bf 5b b3)
  CRCK  [ui32]  0 (bytes 00 00 00 00)
  CRCR  [ui32]  8 (bytes 39 cf aa 08)
  CRCU  [ui32]  219 (bytes 04 ba 95 db)
  CRCa  [ui32]  64 (bytes ad b7 84 40)
  CRCb  [ui32]  139 (bytes 49 2c 86 8b)
  CRCc  [ui32]  128 (bytes d2 87 df 80)
  CRCr  [ui32]  8 (bytes 39 cf aa 08)
  CRCu  [ui32]  219 (bytes 04 ba 95 db)
  D0CA  [ui16]  255 (bytes 05 ff)
  D0CD  [ui16]  130 (bytes 00 82)
  D0CH  [ui32]  1 (bytes 00 00 01 01)
  D0CI  [ui16]  74 (bytes 07 4a)
  D0CL  [ui32]  30 (bytes 00 00 01 1e)
  D0CV  [ui8 ]  0 (bytes 00)
  D0IA  [ui16]  0 (bytes 00 00)
  D0ID  [ui16]  0 (bytes 00 00)
  D0IR  [ui16]  0 (bytes 00 00)
  D0PR  [ui32]  0 (bytes 00 00 00 00)
  D0PX  [ui32]  0 (bytes 00 00 00 00)
  D0T0  [ui16]  0 (bytes 00 00)
  D0VA  [ui16]  0 (bytes 00 00)
  D0VM  [ui16]  0 (bytes 00 00)
  D0VR  [ui16]  0 (bytes 00 00)
  D0VX  [ui16]  0 (bytes 00 00)
  D0if  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D0ih  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D0ii  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D0im  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D0in  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D0is  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  DBGP  [ui8 ]  3 (bytes 03)
  DBGT  [ui8 ]  0 (bytes 00)
  DID0  [ui32]  1 (bytes 18 05 01 01)
  DID1  [ui32]  52 (bytes 10 dc c8 34)
  DM0C  [hex_]  (bytes 03 00)
  DM0E  [flag]  (bytes 01)
  DM0F  [ui8 ]  0 (bytes 00)
  DM0I  [{hdi]  (bytes 02 06 01 01 10 6b 20 01 02 00 00 0b 00 00)
  DM0M  [ui8 ]  0 (bytes 00)
  DM0P  [ui8 ]  2 (bytes 02)
  DM0R  [ui8 ]  0 (bytes 00)
  DM0S  [ui8 ]  2 (bytes 02)
  DM0W  [ui8 ]  0 (bytes 00)
  DM0h  [ui8 ]  (bytes f1)
  DM0r  [ui8 ]  0 (bytes 00)
  DM0w  [ui8 ]  0 (bytes 00)
  DMP!  [hex_]  (bytes 00)
  DMS!  [hex_]  (bytes 00)
  DPB0  [ui8 ]  (bytes 11)
  DPB1  [ui8 ]  (bytes 04)
  DPBR  [ui16]  244 (bytes 03 f4)
  DPLM  [{lim]  (bytes 00 00 00 00 00)
  DSAS  [flag]  (bytes 00)
  DT0A  [sp78]  (bytes 59 00)
  DT0B  [sp78]  (bytes 00 00)
  DT0C  [sp78]  (bytes 00 00)
  DT0a  [sp78]  (bytes fc 00)
  DT0b  [sp78]  (bytes 00 00)
  DT0c  [sp78]  (bytes 00 00)
  ECIP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  ECIT  [ui8 ]  0 (bytes 00)
  EECC  [ui32]  0 (bytes 00 00 00 00)
  EECT  [ui32]  255 (bytes ff ff ff ff)
  ENV0  [ui8 ]  1 (bytes 01)
  EPCA  [ui32]  0 (bytes 00 00 b0 00)
  EPCF  [flag]  (bytes 01)
  EPCI  [ui32]  0 (bytes 07 e0 f0 00)
  EPCV  [ui16]  1 (bytes 00 01)
  EPMA  [ch8*]  (bytes 00 00 a8 10)
  EPMI  [ui8 ]  0 (bytes 00)
  EPUA  [ui32]  0 (bytes 00 00 a8 00)
  EPUF  [flag]  (bytes 01)
  EPUI  [ui32]  1 (bytes 07 e0 00 01)
  EPUV  [ui16]  1 (bytes 00 01)
  ERCE  [flag]  (bytes 00)
  ERCR  [ui16]  10 (bytes 00 0a)
  ERCS  [flag]  (bytes 00)
  EVCT  [hex_]  (bytes 24 04)
  EVHF  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  EVMD  [ui32]  0 (bytes 00 00 00 00)
  EVRD  [ch8*]  (bytes 65 10 16 08 01 40 e9 f3 61 11 88 40 18 40 28 cd f6 06 01 00 00 40 52 d4 bf 01 44 05 ff c0 54 cb)
  EVSL  [ui8 ]  0 (bytes 00)
  FNum  [ui8 ]  0 (bytes 00)
  G3AO  [ui32]  0 (bytes 00 00 00 00)
  G3WD  [flag]  (bytes 00)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HBKT  [ui32]  0 (bytes 00 05 46 00)
  HC0N  [ui8 ]  2 (bytes 02)
  HC0T  [ui8 ]  15 (bytes 0f)
  HDBS  [ui8 ]  0 (bytes 00)
  HDST  [hex_]  (bytes 00 00 00 00)
  HDSW  [hex_]  (bytes 04 13 04 13)
  HI0N  [ui8 ]  13 (bytes 0d)
  HI0T  [ui8 ]  0 (bytes 00)
  HI1N  [ui8 ]  0 (bytes 00)
  HI1T  [ui8 ]  0 (bytes 00)
  HNVD  [ui16]  0 (bytes 00 00)
  IBAC  [sp78]  (bytes 01 77)
  IC0R  [sp5a]  (bytes 03 f6)
  ID0R  [sp5a]  (bytes 00 03)
  IPBF  [sp78]  (bytes 01 e8)
  IPBR  [sp5a]  (bytes 06 84)
  IPBT  [flt ]  (bytes a0 a6 20 41)
  Ic0r  [ui16]  64 (bytes 49 40)
  KDD0  [hex_]  (bytes 86 62 c5 15 a1 9d 23 28 e3 e0 ae 98 61 fb 7b 7f 57 a0 9b a5 6d fb f5 06 9e bb f3 59 00 00 93 5f)
  KDD1  [hex_]  (bytes 00 00 00 00 00 00 d0 96 00 00 00 00 6a 21 00 00 0f 0b 00 00 00 00 0d 78 00 00 00 00 70 81 00 00)
  KDFT  [ui8 ]  5 (bytes 05)
  KDTP  [ui8 ]  1 (bytes 01)
  LAcN  [ui8 ]  0 (bytes 00)
  LAtN  [ui16]  0 (bytes 00 00)
  LC2D  [ui16]  28 (bytes d6 1c)
  LC2E  [ui16]  28 (bytes d6 1c)
  LCCC  [ui8 ]  0 (bytes 00)
  LCCN  [ui8 ]  226 (bytes e2)
  LCCQ  [ui8 ]  112 (bytes 70)
  LCKA  [ui8 ]  155 (bytes 9b)
  LCKN  [ui8 ]  114 (bytes 72)
  LCLD  [ui16]  0 (bytes 00 00)
  LCLG  [ui8 ]  0 (bytes 00)
  LCSA  [ui8 ]  54 (bytes 36)
  LCTN  [ui8 ]  116 (bytes 74)
  LCTQ  [ui8 ]  245 (bytes f5)
  LDEN  [ui16]  0 (bytes 00 00)
  LDI2  [ui8 ]  1 (bytes 01)
  LDKN  [ui8 ]  2 (bytes 02)
  LDLG  [ui8 ]  0 (bytes 00)
  LDLT  [ui8 ]  1 (bytes 01)
  LDS4  [ui8 ]  1 (bytes 01)
  LDSP  [flag]  (bytes 00)
  LDT1  [ui8 ]  0 (bytes 00)
  LDT2  [ui16]  0 (bytes 00 00)
  LDT4  [ui32]  0 (bytes 00 00 00 00)
  LDTF  [ui16]  0 (bytes 00 00)
  LDWE  [ui32]  15 (bytes 00 00 39 0f)
  LPMC  [ui32]  143 (bytes 00 0e 4c 8f)
  MACA  [ui32]  0 (bytes 00 00 00 00)
  MACM  [flag]  (bytes 01)
  MACR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MD0R  [ui8 ]  0 (bytes 00)
  MD0W  [ui8 ]  0 (bytes 00)
  MDr!  [ui8 ]  0 (bytes 00)
  MDw!  [ui8 ]  0 (bytes 00)
  MSAL  [hex_]  (bytes 4b)
  MSAc  [fp88]  (bytes 05 00)
  MSAf  [fp6a]  (bytes 00 00)
  MSAg  [fp88]  (bytes 03 00)
  MSBC  [ui16]  251 (bytes 01 fb)
  MSBP  [ui16]  91 (bytes 0f 5b)
  MSBc  [ui16]  38 (bytes 05 26)
  MSBp  [ui16]  84 (bytes 00 54)
  MSC0  [ui32]  253 (bytes 00 03 14 fd)
  MSCL  [ui8 ]  0 (bytes 00)
  MSDW  [flag]  (bytes 00)
  MSEP  [flag]  (bytes 00)
  MSER  [ui8 ]  5 (bytes 05)
  MSEW  [ui8 ]  20 (bytes 14)
  MSF0  [ui16]  0 (bytes 00 00)
  MSF1  [ui8 ]  0 (bytes 00)
  MSF2  [ui8 ]  0 (bytes 00)
  MSF9  [ui8 ]  0 (bytes 00)
  MSFA  [ch8*]  (bytes 00 00 00 00)
  MSFC  [ui8 ]  0 (bytes 00)
  MSFD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSFE  [ui8 ]  0 (bytes 00)
  MSFL  [ch8*]  (bytes 00 00 00 00)
  MSFM  [ui8 ]  0 (bytes 00)
