BootArgs: Version=2, Revision=0, at 0xffffff8007308000
CommandLine: 
Video: baseAddr=0xb0300000, display=1, rowBytes=14336, width=3360, height=2100, depth=32
DevTree: addr=0x7311000, length=0x12a90
Kernel image: kaddr=0x2d00000, ksize=0x482e000
EFI Runtime: Mode=64, PageStart=0x7324 (0x7324000), PageCount=0x208, SystemTable=0x74ddf18
MemoryMap: Size=0xff0, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
BS_data    00000000750c3000 - 0000000079432fff 0000000000004370 0000000000000000 000000000000000f
available  0000000079433000 - 0000000079433fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000079434000 - 000000007a57efff 000000000000114b 0000000000000000 000000000000000f
available  000000007a57f000 - 000000007a812fff 0000000000000294 0000000000000000 000000000000000f
BS_code    000000007a813000 - 000000007ac7efff 000000000000046c 0000000000000000 000000000000000f
available  000000007ac7f000 - 000000007aceefff 0000000000000070 0000000000000000 000000000000000f
available  000000007acef000 - 000000007adeefff 0000000000000100 0000000000000000 000000000000000f
reserved   000000007adef000 - 000000007af4efff 0000000000000160 0000000000000000 000000000000000f
ACPI_NVS   000000007af4f000 - 000000007af9efff 0000000000000050 0000000000000000 000000000000000f
ACPI_recl  000000007af9f000 - 000000007affefff 0000000000000060 0000000000000000 000000000000000f
BS_data    000000007afff000 - 000000007affffff 0000000000000001 0000000000000000 000000000000000f
reserved   000000007b000000 - 000000007fffffff 0000000000005000 0000000000000000 0000000000000000
MemMapIO   00000000e00fa000 - 00000000e00fafff 0000000000000001 ffffff80074de000 8000000000000001
MemMapIO   00000000e00fd000 - 00000000e00fdfff 0000000000000001 ffffff80074df000 8000000000000001
MemMapIO   00000000fe000000 - 00000000fe010fff 0000000000000011 ffffff80074e0000 8000000000000001
MemMapIO   00000000ff939000 - 00000000ff968fff 0000000000000030 ffffff80074f1000 8000000000000001
available  0000000100000000 - 000000047effffff 000000000037f000 0000000000000000 000000000000000f

