Num: b0=0 b1=0 b2=2 b3=e size=4
  D4Cm  [ui16]  0 (bytes 00 00)
  D4Cn  [ui16]  0 (bytes 00 00)
  D4Cw  [ui16]  0 (bytes 00 00)
  D4DE  [ui8 ]  0 (bytes 00)
  D4DI  [ui8 ]  1 (bytes 01)
  D4DP  [hex_]  (bytes 00 00 ff 01 aa a4 00 00)
  D4DR  [flag]  (bytes 01)
  D4FV  [hex_]  (bytes 00 06 66 00)
  D4JA  [ui32]  76 (bytes 00 00 1d 4c)
  D4JB  [ui32]  76 (bytes 00 00 1d 4c)
  D4JD  [{jst]  (bytes 00 00 1d 4c 00 00 1d 4c 1d 4c 1d 4c 00 00 00 00 1d 4c 00 00 03)
  D4JR  [ui32]  0 (bytes 00 00 00 00)
  D4JS  [ui32]  0 (bytes 00 00 00 00)
  D4St  [hex_]  (bytes 03 00)
  DBTE  [ui8 ]  1 (bytes 01)
  DICT  [flag]  (bytes 00)
  DSAS  [ui8 ]  0 (bytes 00)
  DULT  [ui8 ]  70 (bytes 46)
  DUST  [ui8 ]  0 (bytes 00)
  DUTC  [flag]  (bytes 00)
  DUTT  [ui8 ]  45 (bytes 2d)
  EFBM  [ui8 ]  0 (bytes 00)
  EFBP  [ui8 ]  0 (bytes 00)
  EFBS  [ui8 ]  13 (bytes 0d)
  EFMS  [ui8 ]  1 (bytes 01)
  EFMU  [hex_]  (bytes c6 76 cc 3e 59 94 4c 30 b6 3c c9 3a 62 47 87 85)
  EFMV  [hex_]  (bytes 01 01 00 00 10 00 00 00 10 00 00 00 9b 11 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  EFSR  [ui8 ]  0 (bytes 00)
  ERCE  [flag]  (bytes 00)
  ERCR  [ui16]  1 (bytes 00 01)
  ERCS  [flag]  (bytes 00)
  EVPF  [hex_]  (bytes 00 00 02 00 00 00 00 00 00 00 00 00 00)
  F0AB  [sp78]  (bytes e5 00)
  F0AH  [spf0]  (bytes 13 88)
  F0AL  [spf0]  (bytes 11 30)
  F0AP  [spf0]  (bytes 00 4b)
  F0Ac  [flt ]  (bytes 6d 8a d3 44)
  F0Dc  [flt ]  (bytes ff 9f 7e 3e)
  F0Fb  [ui8 ]  1 (bytes 01)
  F0Fc  [ui16]  7 (bytes 00 07)
  F0Md  [ui8 ]  0 (bytes 00)
  F0Mn  [flt ]  (bytes 00 80 d4 44)
  F0Mx  [flt ]  (bytes 00 e8 8e 45)
  F0Sf  [ui16]  0 (bytes 00 00)
  F0St  [ui8 ]  5 (bytes 05)
  F0Tg  [flt ]  (bytes 00 80 d4 44)
  FAC0  [ui8 ]  0 (bytes 00)
  FAC1  [ui8 ]  0 (bytes 00)
  FAC2  [ui8 ]  0 (bytes 00)
  FAC3  [ui8 ]  0 (bytes 00)
  FBAD  [ui32]  0 (bytes 00 00 00 00)
  FNum  [ui8 ]  1 (bytes 01)
  FOff  [ui8 ]  0 (bytes 00)
  FRmp  [ui16]  0 (bytes 00 00)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HBKT  [ui32]  0 (bytes 00 05 46 00)
  HBKU  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HC0N  [ui8 ]  25 (bytes 19)
  HC0T  [ui8 ]  14 (bytes 0e)
  HI0N  [ui8 ]  18 (bytes 12)
  HI0T  [ui8 ]  0 (bytes 00)
  HI1N  [ui8 ]  19 (bytes 13)
  HI1T  [ui8 ]  0 (bytes 00)
  HNVD  [ui16]  0 (bytes 00 00)
  IAPC  [flt ]  (bytes ca 4f e9 3c)
  IC0R  [flt ]  (bytes 2d 5d 1b 40)
  ICAC  [flt ]  (bytes b8 22 89 41)
  ICIC  [flt ]  (bytes 09 f3 a6 3f)
  ICSC  [flt ]  (bytes 2b 93 a8 3f)
  ICTC  [flt ]  (bytes d6 91 61 3e)
  ID0M  [flt ]  (bytes 39 af 36 40)
  IE2R  [flt ]  (bytes 87 26 14 3b)
  IE3R  [flt ]  (bytes 07 75 69 3c)
  IH0C  [flt ]  (bytes cd a7 83 3c)
  IH0R  [flt ]  (bytes 19 65 37 3b)
  IM0C  [flt ]  (bytes ca e6 74 3c)
  IM0R  [flt ]  (bytes 4d f1 c5 3f)
  IO3R  [flt ]  (bytes 8d 40 92 3e)
  IO5R  [flt ]  (bytes ec c0 d0 3c)
  ISLC  [flt ]  (bytes a0 a4 ac 3e)
  IU3C  [flt ]  (bytes 3f 5c cb 3e)
  IU5C  [flt ]  (bytes 3e 6f 8e 3c)
  IUAC  [flt ]  (bytes 3f 5f af 3b)
  KDD0  [hex_]  (bytes 88 a5 03 2f 61 49 cd d6 76 b2 56 b1 55 f3 00 f5 be 24 d9 67 2c 8c 86 de 51 7d 4a 23 00 00 87 6c)
