BootArgs: Version=2, Revision=0, at 0xffffff800d993000
CommandLine: 
Video: baseAddr=0x90000000, display=1, rowBytes=7680, width=1920, height=1080, depth=32
DevTree: addr=0xd997000, length=0x1460
Kernel image: kaddr=0xad00000, ksize=0x2d6c000
EFI Runtime: Mode=64, PageStart=0xd999 (0xd999000), PageCount=0xd0, SystemTable=0xd9eee10
MemoryMap: Size=0x2c70, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
BS_code    000000007685d000 - 000000007685dfff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000007685e000 - 0000000076860fff 0000000000000003 0000000000000000 000000000000000f
BS_code    0000000076861000 - 000000007687afff 000000000000001a 0000000000000000 000000000000000f
BS_data    000000007687b000 - 000000007687dfff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000007687e000 - 000000007687ffff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000076880000 - 0000000076883fff 0000000000000004 0000000000000000 000000000000000f
BS_code    0000000076884000 - 0000000076890fff 000000000000000d 0000000000000000 000000000000000f
BS_data    0000000076891000 - 0000000076895fff 0000000000000005 0000000000000000 000000000000000f
BS_code    0000000076896000 - 00000000768d3fff 000000000000003e 0000000000000000 000000000000000f
BS_data    00000000768d4000 - 00000000768d6fff 0000000000000003 0000000000000000 000000000000000f
BS_code    00000000768d7000 - 00000000768f4fff 000000000000001e 0000000000000000 000000000000000f
BS_data    00000000768f5000 - 00000000768f9fff 0000000000000005 0000000000000000 000000000000000f
BS_code    00000000768fa000 - 0000000076904fff 000000000000000b 0000000000000000 000000000000000f
BS_data    0000000076905000 - 0000000076906fff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000076907000 - 0000000076908fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000076909000 - 0000000076911fff 0000000000000009 0000000000000000 000000000000000f
BS_code    0000000076912000 - 0000000076913fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000076914000 - 0000000076915fff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000076916000 - 000000007691afff 0000000000000005 0000000000000000 000000000000000f
BS_data    000000007691b000 - 000000007691dfff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000007691e000 - 000000007692cfff 000000000000000f 0000000000000000 000000000000000f
BS_data    000000007692d000 - 000000007692dfff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000007692e000 - 000000007692ffff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000076930000 - 0000000076930fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000076931000 - 000000007693efff 000000000000000e 0000000000000000 000000000000000f
BS_data    000000007693f000 - 0000000076941fff 0000000000000003 0000000000000000 000000000000000f
BS_code    0000000076942000 - 0000000076945fff 0000000000000004 0000000000000000 000000000000000f
BS_data    0000000076946000 - 0000000076947fff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000076948000 - 0000000076952fff 000000000000000b 0000000000000000 000000000000000f
BS_data    0000000076953000 - 0000000076953fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000076954000 - 0000000076954fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000076955000 - 0000000076956fff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000076957000 - 000000007695dfff 0000000000000007 0000000000000000 000000000000000f
BS_data    000000007695e000 - 000000007695ffff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000076960000 - 0000000076960fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000076961000 - 0000000076965fff 0000000000000005 0000000000000000 000000000000000f
BS_code    0000000076966000 - 0000000076967fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000076968000 - 0000000076968fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000076969000 - 0000000076973fff 000000000000000b 0000000000000000 000000000000000f
BS_data    0000000076974000 - 000000007697afff 0000000000000007 0000000000000000 000000000000000f
BS_code    000000007697b000 - 0000000076980fff 0000000000000006 0000000000000000 000000000000000f
BS_data    0000000076981000 - 000000007698cfff 000000000000000c 0000000000000000 000000000000000f
BS_code    000000007698d000 - 0000000076990fff 0000000000000004 0000000000000000 000000000000000f
BS_data    0000000076991000 - 0000000076996fff 0000000000000006 0000000000000000 000000000000000f
BS_code    0000000076997000 - 000000007699afff 0000000000000004 0000000000000000 000000000000000f
BS_data    000000007699b000 - 000000007699bfff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000007699c000 - 00000000769a1fff 0000000000000006 0000000000000000 000000000000000f
BS_data    00000000769a2000 - 00000000769a2fff 0000000000000001 0000000000000000 000000000000000f
BS_code    00000000769a3000 - 00000000769a9fff 0000000000000007 0000000000000000 000000000000000f
BS_data    00000000769aa000 - 00000000769aafff 0000000000000001 0000000000000000 000000000000000f
BS_code    00000000769ab000 - 00000000769d0fff 0000000000000026 0000000000000000 000000000000000f
BS_data    00000000769d1000 - 00000000769d6fff 0000000000000006 0000000000000000 000000000000000f
BS_code    00000000769d7000 - 00000000769e6fff 0000000000000010 0000000000000000 000000000000000f
