Num: b0=0 b1=0 b2=3 b3=2 size=4
  FRmp  [ui16]  0 (bytes 00 00)
  FS!   [ui16]  0 (bytes 00 00)
  FSDc  [ui16]  0 (bytes 69 00)
  G3AO  [ui32]  0 (bytes 00 00 00 00)
  G3WD  [flag]  (bytes 00)
  GCID  [hex_]  (bytes 67 98 10 02)
  GS0C  [ui16]  0 (bytes 00 00)
  GS1C  [ui16]  0 (bytes 00 00)
  GT0C  [ui16]  0 (bytes 00 00)
  GT0R  [ui8 ]  0 (bytes 00)
  GT1C  [ui16]  0 (bytes 00 00)
  GT1R  [ui8 ]  0 (bytes 00)
  GTHR  [ui8 ]  0 (bytes 00)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HBKT  [ui32]  0 (bytes 00 05 46 00)
  HC0N  [ui8 ]  26 (bytes 1a)
  HC0T  [ui8 ]  2 (bytes 02)
  HDBS  [ui8 ]  0 (bytes 00)
  HDST  [hex_]  (bytes 00 00 00 00)
  HDSW  [hex_]  (bytes 00 00 00 00)
  HE0N  [ui8 ]  16 (bytes 10)
  HE0T  [ui8 ]  0 (bytes 00)
  HE1N  [ui8 ]  0 (bytes 00)
  HE1T  [ui8 ]  0 (bytes 00)
  HI0N  [ui8 ]  16 (bytes 10)
  HI0T  [ui8 ]  0 (bytes 00)
  HI1N  [ui8 ]  0 (bytes 00)
  HI1T  [ui8 ]  0 (bytes 00)
  HNVD  [ui16]  0 (bytes 00 00)
  IC0C  [sp87]  (bytes 15 7a)
  IC0S  [sp5a]  (bytes 0a 5a)
  IC0c  [ui16]  179 (bytes 03 b3)
  IC0s  [ui16]  105 (bytes 01 69)
  ICTR  [sp5a]  (bytes 16 c5)
  ICTX  [sp5a]  (bytes 18 07)
  ICTr  [ui16]  49 (bytes 03 31)
  ICTx  [sp5a]  (bytes 1c d1)
  ID2E  [sp78]  (bytes 0d b6)
  ID2F  [sp78]  (bytes 0d b5)
  ID2I  [sp78]  (bytes 0a 39)
  ID2J  [sp78]  (bytes 00 00)
  ID2L  [ui16]  0 (bytes 04 00)
  ID2R  [sp69]  (bytes 14 74)
  ID2S  [si16]  (bytes 99 cc)
  ID2T  [sp78]  (bytes ff ff)
  ID2f  [sp69]  (bytes 19 3b)
  IDTR  [sp69]  (bytes 14 74)
  IG0C  [sp87]  (bytes 00 00)
  IG0R  [sp5a]  (bytes 00 20)
  IG0S  [sp5a]  (bytes 00 00)
  IG0X  [sp5a]  (bytes 00 21)
  IG0c  [ui16]  0 (bytes 00 00)
  IG0r  [ui16]  4 (bytes 00 04)
  IG0s  [ui16]  0 (bytes 00 00)
  IG0x  [sp5a]  (bytes 00 29)
  IG1C  [sp87]  (bytes 05 91)
  IG1R  [sp5a]  (bytes 0b 7d)
  IG1S  [sp5a]  (bytes 29 f1)
  IG1X  [sp5a]  (bytes 0c 36)
  IG1c  [ui16]  126 (bytes 01 7e)
  IG1r  [ui16]  213 (bytes 01 d5)
  IG1s  [ui16]  81 (bytes 04 51)
  IG1x  [sp5a]  (bytes 28 29)
  IH0R  [sp2d]  (bytes 08 e4)
  IH0r  [ui16]  64 (bytes 01 40)
  II0R  [sp5a]  (bytes 06 86)
  II0X  [sp5a]  (bytes 06 9a)
  II0r  [ui16]  202 (bytes 00 ca)
  II0x  [sp5a]  (bytes 07 30)
  IMTR  [sp3c]  (bytes 07 a3)
  IMTr  [ui16]  68 (bytes 01 44)
  IXTR  [sp69]  (bytes 15 50)
  KDD0  [hex_]  (bytes dd d3 36 36 56 55 ee c0 25 c6 da c2 aa 8b 73 5d e3 68 68 53 98 cb 13 8e bf e9 a6 c1 00 00 2b ac)
  KDD1  [hex_]  (bytes 00 00 00 00 00 00 8f ac 00 00 00 00 6a 21 00 00 00 00 00 00 00 00 00 00 00 00 00 00 dd 23 00 00)
  KDFT  [ui8 ]  6 (bytes 06)
  KDTP  [ui8 ]  1 (bytes 01)
  LAcN  [ui8 ]  0 (bytes 00)
  LAtN  [ui16]  0 (bytes 00 00)
  LC2D  [ui16]  27 (bytes 00 1b)
  LC2E  [ui16]  27 (bytes 00 1b)
  LCCC  [ui8 ]  0 (bytes 00)
  LCCN  [ui8 ]  0 (bytes 00)
  LCCQ  [ui8 ]  0 (bytes 00)
  LCKA  [ui8 ]  35 (bytes 23)
