Num: b0=0 b1=0 b2=2 b3=ffffff95 size=4
  CRCC  [ui32]  71 (bytes b7 37 ee 47)
  CRCF  [ui32]  115 (bytes 2a 86 b0 73)
  CRCK  [ui32]  0 (bytes 00 00 00 00)
  CRCR  [ui32]  8 (bytes 39 cf aa 08)
  CRCU  [ui32]  93 (bytes 7a 04 03 5d)
  CRCa  [ui32]  48 (bytes 94 1d ee 30)
  CRCb  [ui32]  249 (bytes e0 e0 f3 f9)
  CRCc  [ui32]  71 (bytes b7 37 ee 47)
  CRCr  [ui32]  8 (bytes 39 cf aa 08)
  CRCu  [ui32]  93 (bytes 7a 04 03 5d)
  DBGP  [ui8 ]  2 (bytes 02)
  DICT  [flag]  (bytes 00)
  DID0  [ui32]  1 (bytes 18 05 01 01)
  DID1  [ui32]  52 (bytes 10 dc a8 34)
  DM0C  [hex_]  (bytes 03 03)
  DM0F  [ui8 ]  0 (bytes 00)
  DM0I  [{hdi]  (bytes 02 04 01 02 03 03 00 02 02 00 00 0b 00 00)
  DM0M  [ui8 ]  0 (bytes 00)
  DM0P  [ui8 ]  2 (bytes 02)
  DM0S  [ui8 ]  1 (bytes 01)
  DM0T  [hex_]  (bytes 00 00)
  DM0h  [ui8 ]  (bytes 7e)
  DMP!  [hex_]  (bytes 00)
  DMS!  [hex_]  (bytes 00)
  DPB0  [ui8 ]  (bytes 11)
  DPB1  [ui8 ]  (bytes 04)
  DPLM  [{lim]  (bytes 00 00 00 00 00)
  DT0A  [sp78]  (bytes 51 00)
  DT0B  [sp78]  (bytes 51 00)
  DT0C  [sp78]  (bytes 00 00)
  DULI  [ui8 ]  0 (bytes 00)
  DULT  [ui8 ]  70 (bytes 46)
  DURR  [ui8 ]  4 (bytes 04)
  DUSR  [ui8 ]  0 (bytes 00)
  DUST  [ui8 ]  0 (bytes 00)
  DUTC  [flag]  (bytes 01)
  DUTI  [ui8 ]  0 (bytes 00)
  DUTT  [ui8 ]  45 (bytes 2d)
  ECIP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  ECIT  [ui8 ]  0 (bytes 00)
  EECC  [ui32]  0 (bytes 00 00 00 00)
  EECT  [ui32]  255 (bytes ff ff ff ff)
  ENV0  [ui8 ]  1 (bytes 01)
  EPCA  [ui32]  0 (bytes 00 00 b0 00)
  EPCF  [flag]  (bytes 01)
  EPCI  [ui32]  0 (bytes 07 d0 f0 00)
  EPCV  [ui16]  1 (bytes 00 01)
  EPMA  [ch8*]  (bytes 00 00 a8 10)
  EPMI  [ui8 ]  0 (bytes 00)
  EPUA  [ui32]  0 (bytes 00 00 a8 00)
  EPUF  [flag]  (bytes 01)
  EPUI  [ui32]  1 (bytes 07 d0 00 01)
  EPUV  [ui16]  1 (bytes 00 01)
  EVCT  [hex_]  (bytes 12 02)
  EVHF  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  EVMD  [ui32]  0 (bytes 00 00 00 00)
  EVRD  [ch8*]  (bytes 65 11 16 15 01 00 f6 73 f6 06 02 00 00 00 db 20 60 10 82 00 ff 80 f2 a0 36 c4 00 00 15 00 ac f5)
  EVSL  [ui8 ]  0 (bytes 00)
  F0Ac  [fpe2]  4295 (bytes 43 1c)
  F0ID  [{fds]  (bytes 00 00 0c 00 4c 65 66 74 20 73 69 64 65 20 20 00)
  F0Mn  [fpe2]  2160 (bytes 21 c0)
  F0Mt  [ui16]  0 (bytes 00 00)
  F0Mx  [fpe2]  6156 (bytes 60 30)
  F0Tg  [fpe2]  4333 (bytes 43 b4)
  F1Ac  [fpe2]  3974 (bytes 3e 18)
  F1ID  [{fds]  (bytes 00 00 0e 00 52 69 67 68 74 20 73 69 64 65 20 00)
  F1Mn  [fpe2]  2000 (bytes 1f 40)
  F1Mt  [ui16]  0 (bytes ff 00)
  F1Mx  [fpe2]  5700 (bytes 59 10)
  F1Tg  [fpe2]  4012 (bytes 3e b0)
  FNum  [ui8 ]  2 (bytes 02)
  FPDc  [fp79]  (bytes 58 ac)
  FRmn  [ui16]  0 (bytes 00 00)
  FRmp  [ui16]  1 (bytes 00 01)
  FS!   [ui16]  0 (bytes 00 00)
  FSDc  [ui16]  0 (bytes 69 00)
  G3AO  [ui32]  0 (bytes 00 00 00 00)
  G3WD  [flag]  (bytes 00)
  GT0C  [ui16]  176 (bytes 0e b0)
  GT0R  [ui8 ]  0 (bytes 00)
  GTHR  [ui8 ]  0 (bytes 00)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HBKT  [ui32]  0 (bytes 00 05 46 00)
  HC0N  [ui8 ]  16 (bytes 10)
  HC0T  [ui8 ]  12 (bytes 0c)
  HDBS  [ui8 ]  0 (bytes 00)
  HDST  [hex_]  (bytes 00 00 00 00)
  HDSW  [hex_]  (bytes 03 0e 03 0e)
  HE0N  [ui8 ]  16 (bytes 10)
  HE0T  [ui8 ]  0 (bytes 00)
  HE1N  [ui8 ]  0 (bytes 00)
  HE1T  [ui8 ]  0 (bytes 00)
  HI0N  [ui8 ]  21 (bytes 15)
  HI0T  [ui8 ]  0 (bytes 00)
  HI1N  [ui8 ]  21 (bytes 15)
  HI1T  [ui8 ]  0 (bytes 00)
  HNVD  [ui16]  0 (bytes 00 00)
  IAPC  [sp4b]  (bytes 00 00)
  IAPc  [ui16]  9 (bytes 00 09)
  IB0P  [sp5a]  (bytes 38 43)
  IBAC  [sp78]  (bytes 05 70)
  IBLC  [sp1e]  (bytes 00 00)
  IBLc  [ui16]  29 (bytes 00 1d)
  IC0C  [sp87]  (bytes 0c 5e)
  IC0R  [sp5a]  (bytes 13 72)
  IC0c  [ui16]  105 (bytes 01 69)
  IC0r  [ui16]  168 (bytes 03 a8)
  IC3C  [sp69]  (bytes 00 00)
  IC3c  [ui16]  198 (bytes 00 c6)
  ICMC  [sp4b]  (bytes 00 00)
  ICMc  [ui16]  5 (bytes 00 05)
  ID0R  [sp4b]  (bytes 00 00)
  ID0r  [ui16]  0 (bytes 00 00)
  IG0C  [sp69]  (bytes 00 00)
  IG0R  [sp4b]  (bytes 00 15)
  IG0c  [ui16]  3 (bytes 00 03)
  IG0r  [ui16]  4 (bytes 00 04)
  IG1C  [sp69]  (bytes 00 00)
  IG1c  [ui16]  0 (bytes 00 00)
  IG2C  [sp4b]  (bytes 00 00)
  IG2c  [ui16]  3 (bytes 00 03)
  IHDC  [sp4b]  (bytes 04 18)
  IHDc  [ui16]  20 (bytes 04 14)
  IHSC  [sp4b]  (bytes 00 00)
  IHSc  [ui16]  0 (bytes 00 00)
  ILDC  [sp1e]  (bytes 00 00)
  ILDc  [ui16]  34 (bytes 04 22)
  IM0C  [sp5a]  (bytes 03 df)
  IM0c  [ui16]  139 (bytes 01 8b)
  IO3R  [sp4b]  (bytes 02 77)
  IO3r  [ui16]  56 (bytes 01 38)
  IO5R  [sp4b]  (bytes 03 d8)
  IO5r  [ui16]  91 (bytes 01 5b)
  IPBR  [sp5a]  (bytes 16 c8)
  IPBr  [ui16]  37 (bytes 05 25)
  KDD0  [hex_]  (bytes d9 24 ff c0 d6 d2 1e ca 3b 6d f4 c8 ed 00 4b 0e b6 f0 e9 f6 2f 73 9c 70 94 47 43 0f 00 00 e4 6e)
  KDD1  [hex_]  (bytes 00 00 00 00 00 00 8f ac 7d e3 00 00 6a 21 00 00 00 00 00 00 00 00 00 00 0b 3e 00 00 dd 23 00 00)
  KDFT  [ui8 ]  4 (bytes 04)
  KDTP  [ui8 ]  1 (bytes 01)
  LAcN  [ui8 ]  0 (bytes 00)
  LAtN  [ui16]  0 (bytes 00 00)
  LC2D  [ui16]  157 (bytes 01 9d)
  LC2E  [ui16]  157 (bytes 01 9d)
  LCCC  [ui8 ]  0 (bytes 00)
  LCCN  [ui8 ]  245 (bytes f5)
  LCCQ  [ui8 ]  8 (bytes 08)
  LCKA  [ui8 ]  56 (bytes 38)
  LCKN  [ui8 ]  54 (bytes 36)
  LCLD  [ui16]  0 (bytes 00 00)
  LCLG  [ui8 ]  0 (bytes 00)
  LCSA  [ui8 ]  95 (bytes 5f)
  LCTN  [ui8 ]  14 (bytes 0e)
  LCTQ  [ui8 ]  229 (bytes e5)
  LDEN  [ui16]  0 (bytes 00 00)
  LDI2  [ui8 ]  1 (bytes 01)
  LDKN  [ui8 ]  2 (bytes 02)
  LDLG  [ui8 ]  0 (bytes 00)
  LDLT  [ui8 ]  1 (bytes 01)
  LDS4  [ui8 ]  1 (bytes 01)
  LDSP  [flag]  (bytes 00)
  LDT1  [ui8 ]  0 (bytes 00)
  LDT2  [ui16]  0 (bytes 00 00)
  LDT4  [ui32]  0 (bytes 00 00 00 00)
  LDTF  [ui16]  0 (bytes 00 00)
  LDWE  [ui32]  15 (bytes 00 00 39 0f)
  LKSB  [{lkb]  (bytes 00 00)
  LKSS  [{lks]  (bytes 00 00)
  LPMC  [ui32]  206 (bytes 00 00 cf ce)
  MACA  [ui32]  0 (bytes 00 00 00 00)
  MACM  [flag]  (bytes 01)
  MACR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MDMT  [flag]  (bytes 00)
  MSAL  [hex_]  (bytes 4b)
  MSAc  [fp88]  (bytes 00 00)
  MSAf  [fp6a]  (bytes 00 00)
  MSAg  [fp88]  (bytes 00 00)
  MSAi  [fp88]  (bytes 00 00)
  MSBC  [ui16]  100 (bytes 1c 64)
  MSBP  [ui16]  179 (bytes 07 b3)
  MSBc  [ui16]  13 (bytes 0e 0d)
  MSBp  [ui16]  3 (bytes 00 03)
  MSDW  [flag]  (bytes 00)
  MSF0  [ui16]  0 (bytes 00 00)
  MSF1  [ui8 ]  0 (bytes 00)
  MSF2  [ui8 ]  0 (bytes 00)
  MSF9  [ui8 ]  0 (bytes 00)
  MSFA  [ch8*]  (bytes 00 00 00 00)
  MSFC  [ui8 ]  0 (bytes 00)
  MSFD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSFE  [ui8 ]  0 (bytes 00)
  MSFL  [ch8*]  (bytes 00 00 00 00)
  MSFM  [ui8 ]  0 (bytes 00)
