Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   36    2 0xffffff7f813ea000 0x5000     0x5000     com.apple.kext.AppleMatch (1.0.0d1) E02F2B44-1494-3432-8D43-48FB11F5028A <4 1>
   37    1 0xffffff7f813ef000 0x31000    0x31000    com.apple.security.sandbox (300.0) D80EE22A-4B9C-3B20-80AC-526E426F5E33 <36 30 25 7 6 5 4 3 2 1>
   38    0 0xffffff7f8184f000 0x8000     0x8000     com.apple.security.quarantine (3) C6338471-95FA-3CB9-9706-083E98ECFB43 <37 36 7 6 5 4 2 1>
   39    0 0xffffff7f85e4f000 0x2000     0x2000     com.apple.security.TMSafetyNet (8) 3BFB631F-3221-39BB-9051-7E65195B7CEE <7 6 5 4 2 1>
   40    0 0xffffff7f85f43000 0x9000     0x9000     com.apple.nke.applicationfirewall (190) 38B4B112-C7DC-3608-A684-52B410ECE09F <7 6 5 4 3 1>
   41    0 0xffffff7f85f97000 0x3000     0x3000     com.apple.driver.AppleAPIC (1.7) D3C72A69-9ADE-3E61-AE5B-F48E522613B8 <12 4 3>
   42   10 0xffffff7f811aa000 0x7e000    0x7e000    com.apple.iokit.IOHIDFamily (2.0.0) A6F155EB-A4D1-3461-A7CC-3E6610C0D918 <7 6 5 4 3 2 1>
   43    3 0xffffff7f82cda000 0x4000     0x4000     com.apple.iokit.IOSMBusFamily (1.1) BC6BE924-53E3-318A-A1B7-B896FA559717 <5 4 3>
   44    0 0xffffff7f82e30000 0x7000     0x7000     com.apple.driver.AppleACPIEC (6.1) C9A4AA97-EC1A-3288-8C80-2162F893511A <43 42 17 14 11 7 6 5 4 3 1>
   45    0 0xffffff7f8323e000 0x4000     0x4000     com.apple.driver.AppleSMBIOS (2.1) 94A968D3-847F-3543-88D4-FBC1B27C22BE <7 4 3>
   46    0 0xffffff7f8285f000 0x8000     0x8000     com.apple.driver.AppleRTC (2.0) 23B0E0EF-C331-38C3-A0A1-7B3BF114302C <11 7 5 4 3 1>
   47    0 0xffffff7f82e3a000 0x4000     0x4000     com.apple.driver.AppleACPIButtons (6.1) 78AD6B7F-2C39-3B47-9358-8E4B68D9A640 <42 17 14 11 7 6 5 4 3 1>
   48    2 0xffffff7f81312000 0x5000     0x5000     com.apple.driver.AppleEFIRuntime (2.1) 60263D37-8B9F-37AE-BB96-C2333D87ECCF <7 6 5 4 3>
   49    2 0xffffff7f81317000 0xb000     0xb000     com.apple.driver.AppleEFINVRAM (2.1) 72552A03-D771-3D6E-B6DE-F3DA267689CE <48 7 6 5 4 3 1>
   50    0 0xffffff7f82cde000 0xb000     0xb000     com.apple.driver.AppleSmartBatteryManager (161.0.0) B656FBC6-39A4-3336-BCCB-62363541DFC7 <43 11 5 4 3 1>
   51    1 0xffffff7f81322000 0x9b000    0x9b000    com.apple.iokit.IOUSBFamily (900.4.2) 2D014649-A940-367A-BEE8-C70543B1F391 <22 21 12 7 5 4 3 1>
   52    0 0xffffff7f816f5000 0x5000     0x5000     com.apple.driver.usb.AppleUSBHostPacketFilter (1.0) C0E8926C-BE3F-3831-8311-BC3D249EFB99 <22 21 7 6 5 4 3 1>
   53    1 0xffffff7f81607000 0x4e000    0x4e000    com.apple.driver.usb.AppleUSBXHCI (1.2) D2877D7D-C929-3C8E-9AFB-614BA0F6B79E <22 21 11 7 6 5 4 3 1>
   54    0 0xffffff7f816fa000 0x30000    0x30000    com.apple.driver.usb.AppleUSBXHCIPCI (1.2) FC5DDED0-7739-32DD-A095-B099CBDF5E5B <53 22 21 12 11 7 6 5 4 3 1>
   55    1 0xffffff7f814cb000 0xa000     0xa000     com.apple.driver.AppleIntelLpssI2C (3.0.60) 072422C4-112C-3B16-8BD8-9D5456DB870F <12 11 7 5 4 3>
   56    1 0xffffff7f831f4000 0xb000     0xb000     com.apple.driver.AppleIntelLpssGspi (3.0.60) A835B20E-19AB-319A-A49D-4ECA6217B798 <12 11 7 5 4 3>
   57    2 0xffffff7f814d5000 0x8000     0x8000     com.apple.driver.AppleIntelLpssDmac (3.0.60) 437A0FA1-1E1F-3D04-BABB-E3D3B7961B2E <12 11 5 4 3>
   58    1 0xffffff7f814dd000 0x19000    0x19000    com.apple.driver.AppleIntelLpssI2CController (3.0.60) C3E46A89-3974-3DBB-AA5D-E77186384375 <57 55 11 7 5 4 3>
   59    1 0xffffff7f82734000 0xec000    0xec000    com.apple.iokit.IOThunderboltFamily (6.8.1) 13DF1CD8-D34D-3831-B0C1-66D9B0E33655 <5 4 3 1>
   60    0 0xffffff7f85f4e000 0xe000     0xe000     com.apple.driver.AppleHPM (3.3.0) 3E4B5539-7FB7-3440-9BC0-489788F52072 <59 58 11 5 4 3 1>
   61    1 0xffffff7f831ff000 0x14000    0x14000    com.apple.driver.AppleIntelLpssSpiController (3.0.60) C4A05005-4397-377B-B2A6-1BB163BE17C0 <57 56 11 5 4 3>
   62    2 0xffffff7f819b9000 0x29000    0x29000    com.apple.driver.corecapture (1.0.4) 8F2FB984-DB2D-3289-A262-D6FBFF7CCCA0 <7 6 5 4 3 1>
   63    1 0xffffff7f819eb000 0x8000     0x8000     com.apple.driver.mDNSOffloadUserClient (1.0.1b8) C1C2F043-33C2-3F9A-9CE9-149A93488F33 <15 4 3 1>
   64    1 0xffffff7f819f3000 0xfc000    0xfc000    com.apple.iokit.IO80211Family (1200.12.2) 35392B3C-238E-3245-9CB1-D33CFEB2CC25 <62 30 15 8 7 6 5 4 3 1>
   65    0 0xffffff7f81afa000 0x7bd000   0x7bd000   com.apple.driver.AirPort.BrcmNIC (1400.1.1) F05A08C0-DFC2-3C24-9714-C27A81ED4510 <64 63 62 15 12 7 6 5 4 3 1>
   66    0 0xffffff7f83596000 0x3f000    0x3f000    com.apple.iokit.IONVMeFamily (2.1.0) CA8A393A-2998-3BF9-B994-952F9ECC1DAC <49 30 25 17 12 7 6 5 4 3 1>
   67    1 0xffffff7f83215000 0x16000    0x16000    com.apple.driver.AppleHSSPISupport (55) 5A27BE99-8244-3DA7-BCCA-E2953F255EAE <61 11 5 4 3 1>
   68    0 0xffffff7f8322e000 0x9000     0x9000     com.apple.driver.AppleHSSPIHIDDriver (55) 61B47278-4DAA-3709-BC29-D3513A301708 <67 42 5 4 3 1>
   69    2 0xffffff7f8199e000 0x17000    0x17000    com.apple.driver.AppleInputDeviceSupport (2400.6) DD2BDDB7-72C0-3459-A09F-F8B0AB6D64D6 <18 5 4 3 1>
   70    2 0xffffff7f82709000 0x27000    0x27000    com.apple.driver.AppleMultitouchDriver (2400.12) 37F763D2-0E14-391A-AC84-5AA15571C1F6 <69 42 17 7 5 4 3 1>
   71    4 0xffffff7f830b2000 0xf6000    0xf6000    com.apple.iokit.IOBluetoothFamily (6.0.8d38) 5E080E71-A0D8-3890-8899-DD4B490F3297 <22 17 11 7 6 5 4 3 1>
   72    1 0xffffff7f831bd000 0x1a000    0x1a000    com.apple.driver.IOBluetoothHIDDriver (6.0.8d38) EA0746D0-0041-3736-99AE-49ADB2B7F2E7 <71 42 5 4 3>
   73    1 0xffffff7f8350c000 0xe000     0xe000     com.apple.driver.AppleHSBluetoothDriver (138) 0DCA494B-9C1E-320E-AB7C-A2F1DE806FB9 <72 71 42 6 5 4 3 1>
