BootArgs: Version=2, Revision=0, at 0xffffff8018837000
CommandLine: 
Video: baseAddr=0x90000000, display=1, rowBytes=11776, width=2880, height=1800, depth=32
DevTree: addr=0x18843000, length=0x138c
Kernel image: kaddr=0x16300000, ksize=0x2603000
EFI Runtime: Mode=64, PageStart=0x18845 (0x18845000), PageCount=0xbb, SystemTable=0x1889ae10
MemoryMap: Size=0x2760, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
BS_code    00000000795d0000 - 00000000795d1fff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000795d2000 - 00000000795d3fff 0000000000000002 0000000000000000 000000000000000f
BS_code    00000000795d4000 - 00000000795d6fff 0000000000000003 0000000000000000 000000000000000f
BS_data    00000000795d7000 - 00000000795d8fff 0000000000000002 0000000000000000 000000000000000f
BS_code    00000000795d9000 - 00000000795e4fff 000000000000000c 0000000000000000 000000000000000f
BS_data    00000000795e5000 - 00000000795e8fff 0000000000000004 0000000000000000 000000000000000f
BS_code    00000000795e9000 - 00000000795e9fff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000795ea000 - 00000000795ebfff 0000000000000002 0000000000000000 000000000000000f
BS_code    00000000795ec000 - 00000000795ecfff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000795ed000 - 00000000795eefff 0000000000000002 0000000000000000 000000000000000f
BS_code    00000000795ef000 - 00000000795effff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000795f0000 - 00000000795f2fff 0000000000000003 0000000000000000 000000000000000f
BS_code    00000000795f3000 - 00000000795f5fff 0000000000000003 0000000000000000 000000000000000f
BS_data    00000000795f6000 - 00000000795f8fff 0000000000000003 0000000000000000 000000000000000f
BS_code    00000000795f9000 - 0000000079606fff 000000000000000e 0000000000000000 000000000000000f
BS_data    0000000079607000 - 0000000079609fff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000007960a000 - 0000000079611fff 0000000000000008 0000000000000000 000000000000000f
BS_data    0000000079612000 - 0000000079615fff 0000000000000004 0000000000000000 000000000000000f
BS_code    0000000079616000 - 000000007961bfff 0000000000000006 0000000000000000 000000000000000f
BS_data    000000007961c000 - 0000000079625fff 000000000000000a 0000000000000000 000000000000000f
BS_code    0000000079626000 - 000000007963ffff 000000000000001a 0000000000000000 000000000000000f
BS_data    0000000079640000 - 0000000079641fff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000079642000 - 0000000079646fff 0000000000000005 0000000000000000 000000000000000f
BS_data    0000000079647000 - 000000007964ffff 0000000000000009 0000000000000000 000000000000000f
BS_code    0000000079650000 - 000000007965dfff 000000000000000e 0000000000000000 000000000000000f
BS_data    000000007965e000 - 000000007965ffff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000079660000 - 0000000079661fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000079662000 - 0000000079664fff 0000000000000003 0000000000000000 000000000000000f
BS_code    0000000079665000 - 0000000079673fff 000000000000000f 0000000000000000 000000000000000f
BS_data    0000000079674000 - 0000000079675fff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000079676000 - 0000000079679fff 0000000000000004 0000000000000000 000000000000000f
BS_data    000000007967a000 - 000000007967afff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000007967b000 - 0000000079681fff 0000000000000007 0000000000000000 000000000000000f
BS_data    0000000079682000 - 000000007968afff 0000000000000009 0000000000000000 000000000000000f
BS_code    000000007968b000 - 000000007968bfff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000007968c000 - 000000007968efff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000007968f000 - 0000000079690fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000079691000 - 0000000079692fff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000079693000 - 0000000079694fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000079695000 - 0000000079695fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000079696000 - 00000000796a7fff 0000000000000012 0000000000000000 000000000000000f
BS_data    00000000796a8000 - 00000000796abfff 0000000000000004 0000000000000000 000000000000000f
BS_code    00000000796ac000 - 00000000796adfff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000796ae000 - 00000000796aefff 0000000000000001 0000000000000000 000000000000000f
BS_code    00000000796af000 - 00000000796b8fff 000000000000000a 0000000000000000 000000000000000f
BS_data    00000000796b9000 - 00000000796bafff 0000000000000002 0000000000000000 000000000000000f
BS_code    00000000796bb000 - 00000000796d8fff 000000000000001e 0000000000000000 000000000000000f
BS_data    00000000796d9000 - 00000000796ddfff 0000000000000005 0000000000000000 000000000000000f
BS_code    00000000796de000 - 00000000796e3fff 0000000000000006 0000000000000000 000000000000000f
BS_data    00000000796e4000 - 00000000796e5fff 0000000000000002 0000000000000000 000000000000000f
BS_code    00000000796e6000 - 00000000796ebfff 0000000000000006 0000000000000000 000000000000000f
BS_data    00000000796ec000 - 00000000796edfff 0000000000000002 0000000000000000 000000000000000f
BS_code    00000000796ee000 - 00000000796eefff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000796ef000 - 00000000796effff 0000000000000001 0000000000000000 000000000000000f
BS_code    00000000796f0000 - 00000000796f0fff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000796f1000 - 00000000796f6fff 0000000000000006 0000000000000000 000000000000000f
BS_code    00000000796f7000 - 00000000796f8fff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000796f9000 - 00000000796fdfff 0000000000000005 0000000000000000 000000000000000f
BS_code    00000000796fe000 - 00000000796fefff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000796ff000 - 00000000796fffff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000079700000 - 0000000079702fff 0000000000000003 0000000000000000 000000000000000f
BS_data    0000000079703000 - 0000000079703fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000079704000 - 0000000079705fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000079706000 - 000000007970dfff 0000000000000008 0000000000000000 000000000000000f
BS_code    000000007970e000 - 000000007970ffff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000079710000 - 0000000079712fff 0000000000000003 0000000000000000 000000000000000f
BS_code    0000000079713000 - 0000000079716fff 0000000000000004 0000000000000000 000000000000000f
BS_data    0000000079717000 - 000000007971afff 0000000000000004 0000000000000000 000000000000000f
BS_code    000000007971b000 - 000000007971bfff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000007971c000 - 0000000079721fff 0000000000000006 0000000000000000 000000000000000f
BS_code    0000000079722000 - 0000000079723fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000079724000 - 0000000079728fff 0000000000000005 0000000000000000 000000000000000f
BS_code    0000000079729000 - 0000000079729fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000007972a000 - 000000007972afff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000007972b000 - 000000007972bfff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000007972c000 - 000000007972efff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000007972f000 - 000000007972ffff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000079730000 - 0000000079742fff 0000000000000013 0000000000000000 000000000000000f
BS_code    0000000079743000 - 0000000079750fff 000000000000000e 0000000000000000 000000000000000f
BS_data    0000000079751000 - 0000000079765fff 0000000000000015 0000000000000000 000000000000000f
BS_code    0000000079766000 - 0000000079768fff 0000000000000003 0000000000000000 000000000000000f
BS_data    0000000079769000 - 000000007979bfff 0000000000000033 0000000000000000 000000000000000f
BS_code    000000007979c000 - 00000000797b1fff 0000000000000016 0000000000000000 000000000000000f
BS_data    00000000797b2000 - 00000000797bffff 000000000000000e 0000000000000000 000000000000000f
BS_code    00000000797c0000 - 00000000797c5fff 0000000000000006 0000000000000000 000000000000000f
BS_data    00000000797c6000 - 00000000797d7fff 0000000000000012 0000000000000000 000000000000000f
BS_code    00000000797d8000 - 00000000797d9fff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000797da000 - 00000000797dcfff 0000000000000003 0000000000000000 000000000000000f
BS_code    00000000797dd000 - 00000000797e3fff 0000000000000007 0000000000000000 000000000000000f
BS_data    00000000797e4000 - 00000000797f1fff 000000000000000e 0000000000000000 000000000000000f
BS_code    00000000797f2000 - 00000000797f2fff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000797f3000 - 00000000797f3fff 0000000000000001 0000000000000000 000000000000000f
BS_code    00000000797f4000 - 00000000797f4fff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000797f5000 - 00000000797f6fff 0000000000000002 0000000000000000 000000000000000f
BS_code    00000000797f7000 - 00000000797f8fff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000797f9000 - 0000000079810fff 0000000000000018 0000000000000000 000000000000000f
BS_code    0000000079811000 - 0000000079818fff 0000000000000008 0000000000000000 000000000000000f
BS_data    0000000079819000 - 0000000079819fff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000007981a000 - 000000007981afff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000007981b000 - 000000007981ffff 0000000000000005 0000000000000000 000000000000000f
BS_code    0000000079820000 - 000000007982ffff 0000000000000010 0000000000000000 000000000000000f
BS_data    0000000079830000 - 000000007983cfff 000000000000000d 0000000000000000 000000000000000f
BS_code    000000007983d000 - 000000007983dfff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000007983e000 - 000000007983efff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000007983f000 - 000000007983ffff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000079840000 - 0000000079841fff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000079842000 - 0000000079842fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000079843000 - 0000000079c67fff 0000000000000425 0000000000000000 000000000000000f
BS_code    0000000079c68000 - 0000000079c6dfff 0000000000000006 0000000000000000 000000000000000f
BS_data    0000000079c6e000 - 0000000079c6ffff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000079c70000 - 0000000079c76fff 0000000000000007 0000000000000000 000000000000000f
BS_data    0000000079c77000 - 0000000079c77fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000079c78000 - 0000000079c78fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000079c79000 - 0000000079c7efff 0000000000000006 0000000000000000 000000000000000f
BS_code    0000000079c7f000 - 0000000079c80fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000079c81000 - 0000000079c87fff 0000000000000007 0000000000000000 000000000000000f
BS_code    0000000079c88000 - 0000000079c88fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000079c89000 - 0000000079d15fff 000000000000008d 0000000000000000 000000000000000f
BS_code    0000000079d16000 - 0000000079d16fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000079d17000 - 0000000079d1afff 0000000000000004 0000000000000000 000000000000000f
BS_code    0000000079d1b000 - 0000000079d1bfff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000079d1c000 - 0000000079d1cfff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000079d1d000 - 0000000079d21fff 0000000000000005 0000000000000000 000000000000000f
BS_data    0000000079d22000 - 0000000079d26fff 0000000000000005 0000000000000000 000000000000000f
BS_code    0000000079d27000 - 0000000079d27fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000079d28000 - 000000007ad02fff 0000000000000fdb 0000000000000000 000000000000000f
available  000000007ad03000 - 000000007ad13fff 0000000000000011 0000000000000000 000000000000000f
ACPI_NVS   000000007ad14000 - 000000007ad52fff 000000000000003f 0000000000000000 000000000000000f
available  000000007ad53000 - 000000007ad5ffff 000000000000000d 0000000000000000 000000000000000f
ACPI_recl  000000007ad60000 - 000000007ad8efff 000000000000002f 0000000000000000 000000000000000f
available  000000007ad8f000 - 000000007ae38fff 00000000000000aa 0000000000000000 000000000000000f
available  000000007ae39000 - 000000007ae8efff 0000000000000056 0000000000000000 000000000000000f
available  000000007ae8f000 - 000000007aecffff 0000000000000041 0000000000000000 000000000000000f
available  000000007aed0000 - 000000007aefefff 000000000000002f 0000000000000000 000000000000000f
available  000000007aeff000 - 000000007af7afff 000000000000007c 0000000000000000 000000000000000f
reserved   000000007af7b000 - 000000007afe4fff 000000000000006a 0000000000000000 000000000000000f
BS_data    000000007afe5000 - 000000007affffff 000000000000001b 0000000000000000 000000000000000f
reserved   000000007b000000 - 000000007f9fffff 0000000000004a00 0000000000000000 0000000000000000
MemMapIO   00000000e00f8000 - 00000000e00f8fff 0000000000000001 ffffff80188ca000 8000000000000001
MemMapIO   00000000fed1c000 - 00000000fed1ffff 0000000000000004 ffffff80188cb000 8000000000000001
MemMapIO   00000000ffe10000 - 00000000ffe3ffff 0000000000000030 ffffff80188cf000 8000000000000001
available  0000000100000000 - 000000047f5fffff 000000000037f600 0000000000000000 000000000000000f

