Num: b0=0 b1=0 b2=1 b3=ffffffba size=4
  EVCT  [ui16]  0 (bytes 00 00)
  EVMD  [ui32]  0 (bytes 00 00 00 00)
  EVRD  [ch8*]  (bytes f6 06 03 00 00 40 00 05 71 02 ff 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  F0Ac  [fpe2]  1994 (bytes 1f 2a)
  F0ID  [{fds]  (bytes 00 00 0c 00 4c 65 66 74 20 73 69 64 65 20 20 00)
  F0Mn  [fpe2]  2000 (bytes 1f 40)
  F0Mt  [ui16]  208 (bytes 07 d0)
  F0Mx  [fpe2]  6200 (bytes 60 e0)
  F0Tg  [fpe2]  2000 (bytes 1f 40)
  F1Ac  [fpe2]  2000 (bytes 1f 40)
  F1ID  [{fds]  (bytes 00 00 0e 00 52 69 67 68 74 20 73 69 64 65 20 00)
  F1Mn  [fpe2]  2000 (bytes 1f 40)
  F1Mt  [ui16]  0 (bytes 00 00)
  F1Mx  [fpe2]  6200 (bytes 60 e0)
  F1Tg  [fpe2]  2000 (bytes 1f 40)
  FMAx  [fpe2]  3069 (bytes 2f f6)
  FNum  [ui8 ]  2 (bytes 02)
  FPDc  [fp79]  (bytes 2d 50)
  FPhz  [si16]  (bytes 00 00)
  FRD0  [ui16]  0 (bytes 00 00)
  FRD1  [ui16]  0 (bytes 00 00)
  FRD2  [ui16]  0 (bytes 00 00)
  FRD3  [ui16]  0 (bytes 00 00)
  FRD4  [ui16]  0 (bytes 00 00)
  FRD5  [ui16]  0 (bytes 00 00)
  FRD6  [ui16]  0 (bytes 00 00)
  FRD7  [ui16]  0 (bytes 00 00)
  FS!   [ui16]  0 (bytes 00 00)
  FSDc  [ui16]  0 (bytes 00 00)
  G3WD  [flag]  (bytes 00)
  HBKP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  HBKT  [ui32]  0 (bytes 00 05 46 00)
  HBWK  [flag]  (bytes 00)
  HDBS  [ui8 ]  0 (bytes 00)
  HDST  [hex_]  (bytes 00 00 00 00)
  HDSW  [hex_]  (bytes 00 00 00 00)
  IAPC  [sp4b]  (bytes 00 00)
  IB0P  [sp5a]  (bytes 36 66)
  IB0R  [sp5a]  (bytes 0f bb)
  IB0r  [ui16]  0 (bytes 2c 00)
  IBLC  [sp1e]  (bytes 00 00)
  IC0C  [sp87]  (bytes 00 00)
  IC0R  [sp4b]  (bytes 10 9b)
  IC0c  [ui16]  0 (bytes 00 00)
  IC0r  [ui16]  128 (bytes 23 80)
  IC1C  [sp69]  (bytes 00 00)
  IC1c  [ui16]  0 (bytes 00 00)
  IC2C  [sp69]  (bytes 00 00)
  IC2c  [ui16]  0 (bytes 00 00)
  ID0R  [sp3c]  (bytes 00 00)
  ID0r  [ui16]  0 (bytes 00 00)
  IG0C  [sp69]  (bytes 00 00)
  IG0R  [sp4b]  (bytes 03 2b)
  IG0c  [ui16]  0 (bytes 00 00)
  IG0r  [ui16]  128 (bytes 13 80)
  IG1C  [sp5a]  (bytes 00 00)
  IG2C  [sp4b]  (bytes 00 00)
  IG3C  [sp4b]  (bytes 00 00)
  IHDC  [sp4b]  (bytes 00 00)
  IM0C  [sp5a]  (bytes 00 00)
  IM0c  [ui16]  0 (bytes 00 00)
  IN0C  [sp69]  (bytes 00 00)
  IN0c  [ui16]  0 (bytes 00 00)
  IO0R  [sp4b]  (bytes 05 1d)
