Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   36    0 0xffffff7f831e6000 0x19000    0x19000    com.apple.driver.DiskImages (493.0.0) 2D9F03ED-E088-3BAA-923F-D9DC10AFD8B6 <27 8 7 6 5 3 1>
   37    2 0xffffff7f815fc000 0x5000     0x5000     com.apple.kext.AppleMatch (1.0.0d1) 8C00BC0F-C79C-39B3-BAAE-88E3FBF7164E <5 1>
   38    2 0xffffff7f81601000 0x31000    0x31000    com.apple.security.sandbox (300.0) DFD3B5EB-7C94-378D-AF81-D25E51F3B750 <37 31 27 8 7 6 5 3 2 1>
   39    1 0xffffff7f81632000 0x8000     0x8000     com.apple.security.quarantine (3) A70900F4-FCEB-308B-9BF1-A318B46EC516 <38 37 8 7 6 5 2 1>
   40    0 0xffffff7f831e3000 0x2000     0x2000     com.apple.security.TMSafetyNet (8) 2045F40C-B5D4-3F1B-8393-959932A798CF <8 7 6 5 2 1>
   41    0 0xffffff7f832d8000 0x9000     0x9000     com.apple.nke.applicationfirewall (190) 270D9F02-FC03-3A14-95AE-722C4F537C7E <8 7 6 5 3 1>
   42    0 0xffffff7f83754000 0x3000     0x3000     com.apple.driver.AppleAPIC (1.7) DBDCB15D-595A-3FBA-81A9-E03C8ED8D819 <13 5 3>
   43    5 0xffffff7f81287000 0x7e000    0x7e000    com.apple.iokit.IOHIDFamily (2.0.0) B22CED3C-FF8E-3F4C-94DE-52E156703859 <8 7 6 5 3 2 1>
   44    2 0xffffff7f81e70000 0x4000     0x4000     com.apple.iokit.IOSMBusFamily (1.1) 57451E9D-A49B-3CCC-A716-42813985D023 <6 5 3>
   45    0 0xffffff7f81fca000 0x7000     0x7000     com.apple.driver.AppleACPIEC (6.1) 10C4D4A8-343D-3ED2-8F11-8C30B9DDFE0B <44 43 18 15 12 8 7 6 5 3 1>
   46    0 0xffffff7f82b91000 0x4000     0x4000     com.apple.driver.AppleSMBIOS (2.1) 3625EC8E-EA0E-305D-B374-99556F57D4DF <8 5 3>
   47    0 0xffffff7f81e86000 0x7000     0x7000     com.apple.driver.AppleSMCRTC (1.0) 1293844B-0688-33A6-AF88-479D5BAE1B84 <14 12 8 6 5 3 1>
