BootArgs: Version=2, Revision=1, at 0xffffff80213b8000
CommandLine: 
Video: baseAddr=0xb0000000, display=1, rowBytes=6144, width=1440, height=900, depth=32
DevTree: addr=0x213c1000, length=0x17b4
Kernel image: kaddr=0x1d500000, ksize=0x3f86000
EFI Runtime: Mode=64, PageStart=0x213c3 (0x213c3000), PageCount=0xc0, SystemTable=0x21417e10
MemoryMap: Size=0x2c70, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
BS_code    0000000078b49000 - 0000000078b54fff 000000000000000c 0000000000000000 000000000000000f
BS_data    0000000078b55000 - 0000000078b59fff 0000000000000005 0000000000000000 000000000000000f
BS_code    0000000078b5a000 - 0000000078b5afff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000078b5b000 - 0000000078b5efff 0000000000000004 0000000000000000 000000000000000f
BS_code    0000000078b5f000 - 0000000078b61fff 0000000000000003 0000000000000000 000000000000000f
BS_data    0000000078b62000 - 0000000078b62fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000078b63000 - 0000000078b6dfff 000000000000000b 0000000000000000 000000000000000f
BS_data    0000000078b6e000 - 0000000078b73fff 0000000000000006 0000000000000000 000000000000000f
BS_code    0000000078b74000 - 0000000078b8bfff 0000000000000018 0000000000000000 000000000000000f
BS_data    0000000078b8c000 - 0000000078b8ffff 0000000000000004 0000000000000000 000000000000000f
BS_code    0000000078b90000 - 0000000078b95fff 0000000000000006 0000000000000000 000000000000000f
BS_data    0000000078b96000 - 0000000078b99fff 0000000000000004 0000000000000000 000000000000000f
BS_code    0000000078b9a000 - 0000000078ba9fff 0000000000000010 0000000000000000 000000000000000f
BS_data    0000000078baa000 - 0000000078babfff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000078bac000 - 0000000078baefff 0000000000000003 0000000000000000 000000000000000f
BS_data    0000000078baf000 - 0000000078bb1fff 0000000000000003 0000000000000000 000000000000000f
BS_code    0000000078bb2000 - 0000000078bcffff 000000000000001e 0000000000000000 000000000000000f
BS_data    0000000078bd0000 - 0000000078bd4fff 0000000000000005 0000000000000000 000000000000000f
BS_code    0000000078bd5000 - 0000000078bdffff 000000000000000b 0000000000000000 000000000000000f
BS_data    0000000078be0000 - 0000000078be4fff 0000000000000005 0000000000000000 000000000000000f
BS_code    0000000078be5000 - 0000000078be5fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000078be6000 - 0000000078be6fff 0000000000000001 0000000000000000 000000000000000f
