Num: b0=0 b1=0 b2=2 b3=ffffffed size=4
  BRTM  [si8 ]  (bytes 05)
  BRTP  [ui16]  0 (bytes 00 00)
  BSAC  [hex_]  (bytes 33)
  BSIn  [hex_]  (bytes 43)
  BTIL  [ui16]  248 (bytes 0e f8)
  BTTI  [ui8 ]  2 (bytes 02)
  BTVI  [ui8 ]  1 (bytes 01)
  BTVR  [ui8 ]  1 (bytes 01)
  BTVS  [fp1f]  (bytes 80 00)
  BTVT  [ui8 ]  1 (bytes 01)
  BWLM  [ui8 ]  0 (bytes 00)
  C2HD  [hex_]  (bytes 00 00 00 00)
  C2HP  [hex_]  (bytes 00 00)
  C2TD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  C2TM  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  C2TP  [hex_]  (bytes 00)
  CHBI  [ui16]  248 (bytes 0e f8)
  CHBV  [ui16]  248 (bytes 32 f8)
  CHGC  [ui16]  138 (bytes d8 8a)
  CHGD  [flag]  (bytes 00)
  CHGI  [ui16]  124 (bytes 07 7c)
  CHGV  [ui16]  248 (bytes 32 f8)
  CHII  [ui16]  172 (bytes 05 ac)
  CHIM  [flag]  (bytes 01)
  CHIT  [ui16]  0 (bytes 00 00)
  CLKT  [ui32]  79 (bytes 00 00 5b 4f)
  CLSD  [ui16]  0 (bytes 00 00)
  CLWK  [ui16]  255 (bytes ff ff)
  CPL1  [sp78]  (bytes 00 00)
  CPL2  [sp78]  (bytes 00 00)
  CPL3  [ui32]  0 (bytes 00 00 00 00)
  CPL4  [sp78]  (bytes 00 00)
  CPPL  [sp78]  (bytes 0f 00)
  CPTX  [sp78]  (bytes 64 00)
  CRCA  [hex_]  (bytes 1a e6 23 5e)
  CRCB  [hex_]  (bytes ec 30 af 15)
  CRCC  [hex_]  (bytes 7f d1 34 b4)
  CRCF  [hex_]  (bytes c7 5e c7 40)
  CRCK  [hex_]  (bytes 00 00 00 00)
  CRCR  [hex_]  (bytes 39 cf aa 08)
  CRCS  [hex_]  (bytes 7b 9f 1f 58)
  CRCU  [hex_]  (bytes c1 fd c2 ca)
  CRCa  [hex_]  (bytes 1a e6 23 5e)
  CRCb  [hex_]  (bytes ec 30 af 15)
  CRCc  [hex_]  (bytes 7f d1 34 b4)
  CRCr  [hex_]  (bytes 39 cf aa 08)
  CRCs  [hex_]  (bytes 7b 9f 1f 58)
  CRCu  [hex_]  (bytes c1 fd c2 ca)
  D1CA  [ui16]  184 (bytes 00 b8)
  D1CD  [ui16]  184 (bytes 00 b8)
  D1CR  [ui16]  33 (bytes 06 21)
  D1Cd  [hex_]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 02)
  D1IC  [ui16]  255 (bytes ff ff)
  D1IR  [ui16]  184 (bytes 0b b8)
  D1JA  [ui32]  76 (bytes 00 00 1d 4c)
  D1JB  [ui32]  76 (bytes 00 00 1d 4c)
  D1JD  [{jst]  (bytes 00 00 1d 4c 00 00 1d 4c 1d 4c 1d 4c 1d 4c 00 00 00)
  D1JR  [ui32]  0 (bytes 00 00 00 00)
  D1JS  [ui32]  0 (bytes 00 00 00 00)
  D1LR  [ui8 ]  0 (bytes 00)
  D1VC  [ui16]  0 (bytes 00 00)
  D1VM  [ui16]  56 (bytes 4a 38)
  D1VR  [ui16]  32 (bytes 4e 20)
  D1VX  [ui16]  8 (bytes 52 08)
  D1if  [ch8*]  (bytes 30 31 30 39 30 30 31 33 00 00 00 00)
  D1ih  [ch8*]  (bytes 31 2e 30 00 00 00 00 00 00 00 00 00)
  D1ii  [ch8*]  (bytes 30 78 31 36 35 35 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1im  [ch8*]  (bytes 41 70 70 6c 65 20 49 6e 63 2e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1in  [ch8*]  (bytes 36 31 57 20 55 53 42 2d 43 20 50 6f 77 65 72 20 41 64 61 70 74 65 72 00 00 00 00 00 00 00 00 00)
  D1is  [ch8*]  (bytes 43 34 48 37 32 33 31 30 44 44 32 47 4e 38 52 41 56 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D2CA  [ui16]  140 (bytes 00 8c)
  D2CD  [ui16]  140 (bytes 00 8c)
  D2CR  [ui16]  196 (bytes 00 c4)
  D2Cd  [hex_]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D2IC  [ui16]  255 (bytes ff ff)
  D2IR  [ui16]  0 (bytes 00 00)
  D2JA  [ui32]  76 (bytes 00 00 1d 4c)
  D2JB  [ui32]  76 (bytes 00 00 1d 4c)
  D2JD  [{jst]  (bytes 00 00 1d 4c 00 00 1d 4c 1d 4c 1d 4c 1d 4c 00 00 00)
  D2JR  [ui32]  0 (bytes 00 00 00 00)
  D2JS  [ui32]  0 (bytes 00 00 00 00)
  D2LR  [ui8 ]  1 (bytes 01)
  D2VC  [ui16]  0 (bytes 00 00)
  D2VM  [ui16]  0 (bytes 00 00)
  D2VR  [ui16]  0 (bytes 00 00)
  D2VX  [ui16]  0 (bytes 00 00)
  D2if  [ch8*]  (bytes 30 31 30 39 30 30 31 33 00 00 00 00)
  D2ih  [ch8*]  (bytes 31 2e 30 00 00 00 00 00 00 00 00 00)
  D2ii  [ch8*]  (bytes 30 78 31 36 35 35 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D2im  [ch8*]  (bytes 41 70 70 6c 65 20 49 6e 63 2e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D2in  [ch8*]  (bytes 36 31 57 20 55 53 42 2d 43 20 50 6f 77 65 72 20 41 64 61 70 74 65 72 00 00 00 00 00 00 00 00 00)
