Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   36    5 0xffffff7f81bff000 0x7000     0x7000     com.apple.driver.IOSlaveProcessor (1) 0BF47306-35EB-3A07-8264-B125EAB0E6F0 <5 3>
   37    3 0xffffff7f81c08000 0x1b000    0x1b000    com.apple.driver.AppleSEPManager (1.0.1) 3B310CDF-FF1E-34B6-AFBF-3AAFAA9C1C7C <36 13 10 8 7 6 5 3 1>
   38    3 0xffffff7f82971000 0x1d000    0x1d000    com.apple.driver.KernelRelayHost (1) 7C13D821-395D-3DF5-A154-ACBFBB79E3B9 <21 6 5 3>
   39    1 0xffffff7f83812000 0x50000    0x50000    com.apple.driver.AppleCredentialManager (1.0) A7176356-C8BE-3A72-8BBE-D82F5F8C51B7 <38 37 36 10 8 7 6 5 3 1>
   40    1 0xffffff7f812e7000 0x19000    0x19000    com.apple.iokit.IOSCSIBlockCommandsDevice (422.0.2) B3EA7D18-5BDD-3614-870B-1120F8B5A43D <23 22 7 6 5 3 1>
   41    2 0xffffff7f81444000 0x15000    0x15000    com.apple.driver.AppleUSBTDM (489.60.3) 76CC2A1D-001E-3B3D-A7D2-D1CD1F62BCC0 <40 32 24 23 22 21 8 7 6 5 3 1>
   42    0 0xffffff7f83864000 0x7c000    0x7c000    com.apple.driver.AppleKeyStore (2) 6286AA24-8CFA-3511-8084-7532DFD2F09B <41 39 38 37 36 32 31 10 8 7 6 5 3 1>
   43    2 0xffffff7f8239a000 0x5000     0x5000     com.apple.kext.AppleMatch (1.0.0d1) 318675DA-B035-3425-B868-DAADB9D7C7F2 <5 1>
   44    2 0xffffff7f8239f000 0x5a000    0x5a000    com.apple.security.sandbox (300.0) 2EBA3644-52EF-3EDD-B250-51603CA24A8C <43 32 22 8 7 6 5 3 2 1>
   45    1 0xffffff7f823f9000 0xc000     0xc000     com.apple.security.quarantine (4) 3E7B28CE-D31C-340D-936D-1BB305D753A6 <44 43 8 7 6 5 3 2 1>
   46    0 0xffffff7f824cb000 0xe000     0xe000     com.apple.AppleSystemPolicy (2.0.0) C5D44867-DACA-3A80-8352-3278C43C31E4 <45 44 32 8 7 6 5 3 2 1>
   47    0 0xffffff7f82c8a000 0x2000     0x2000     com.apple.security.TMSafetyNet (8) 70F80873-7EC1-38B7-8C05-7A3A0CE7A2B2 <8 7 6 5 2 1>
   48    0 0xffffff7f83a38000 0xa000     0xa000     com.apple.nke.applicationfirewall (303) D48DDD91-E928-3736-96C5-28852DA1E757 <8 7 6 5 3 1>
   49    0 0xffffff7f83a52000 0x10000    0x10000    com.apple.security.AppleImage4 (1) 6EC892AE-3384-3630-B932-EA2E1815A392 <10 8 7 5 3 1>
   50    0 0xffffff7f81482000 0x3000     0x3000     com.apple.driver.AppleAPIC (1.7) FA8CD390-B305-3C89-8E09-3DE05DF60848 <13 5 3>
   51    9 0xffffff7f80c50000 0x9f000    0x9f000    com.apple.iokit.IOHIDFamily (2.0.0) 9A2A89A2-62FE-373E-8520-F6BBCBE4CB6A <17 8 7 6 5 3 2 1>
   52    2 0xffffff7f8151c000 0x4000     0x4000     com.apple.iokit.IOSMBusFamily (1.1) F083A878-3906-34AB-9A93-DD0DE1480890 <6 5 3>
   53    0 0xffffff7f815c4000 0x8000     0x8000     com.apple.driver.AppleACPIEC (6.1) E81AA679-0FF7-3459-A68A-029DBB04CF29 <52 51 17 16 12 8 7 6 5 3 1>
   54    0 0xffffff7f83d8b000 0x4000     0x4000     com.apple.driver.AppleSMBIOS (2.1) EAAED78A-057E-33B0-B543-A573859220D1 <8 5 3>
   55    0 0xffffff7f83daa000 0x7000     0x7000     com.apple.driver.AppleSMCRTC (1.0) 52CB3C46-7A6B-36FF-A898-CFF6969E48C4 <15 12 8 6 5 3 1>
   56    0 0xffffff7f81851000 0x4000     0x4000     com.apple.driver.AppleACPIButtons (6.1) 682FCE33-42BF-3D3F-94BE-72AD4DFCAD5C <51 17 16 12 8 7 6 5 3 1>
